timestamp_utc,ticker,floor_strike,yes_bid,yes_ask,last_price,volume,open_time,close_time
2026-09-15T00:02:54.318+00:00,KXBTC15M-26SEP142015-15,78179.05,0.6200,0.6300,0.6300,576611.49,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:02:56.465+00:00,KXBTC15M-26SEP142015-15,78179.05,0.6200,0.6300,0.6300,576611.49,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:02:58.610+00:00,KXBTC15M-26SEP142015-15,78179.05,0.6200,0.6300,0.6300,576611.49,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:03:00.999+00:00,KXBTC15M-26SEP142015-15,78179.05,0.6800,0.6900,0.6800,609025.35,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:03:03.143+00:00,KXBTC15M-26SEP142015-15,78179.05,0.6800,0.6900,0.6800,609025.35,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:03:05.306+00:00,KXBTC15M-26SEP142015-15,78179.05,0.6800,0.6900,0.6800,609025.35,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:03:07.448+00:00,KXBTC15M-26SEP142015-15,78179.05,0.6800,0.6900,0.6800,609025.35,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:03:09.587+00:00,KXBTC15M-26SEP142015-15,78179.05,0.6800,0.6900,0.6800,609025.35,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:03:11.733+00:00,KXBTC15M-26SEP142015-15,78179.05,0.6800,0.6900,0.6800,625710.98,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:03:13.870+00:00,KXBTC15M-26SEP142015-15,78179.05,0.6800,0.6900,0.6800,625710.98,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:03:16.017+00:00,KXBTC15M-26SEP142015-15,78179.05,0.6800,0.6900,0.6800,625710.98,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:03:18.171+00:00,KXBTC15M-26SEP142015-15,78179.05,0.6800,0.6900,0.6800,625710.98,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:03:20.311+00:00,KXBTC15M-26SEP142015-15,78179.05,0.6800,0.6900,0.6800,625710.98,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:03:22.451+00:00,KXBTC15M-26SEP142015-15,78179.05,0.6300,0.6400,0.6400,649301.04,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:03:24.595+00:00,KXBTC15M-26SEP142015-15,78179.05,0.6300,0.6400,0.6400,649301.04,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:03:26.757+00:00,KXBTC15M-26SEP142015-15,78179.05,0.6300,0.6400,0.6400,649301.04,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:03:28.899+00:00,KXBTC15M-26SEP142015-15,78179.05,0.6300,0.6400,0.6400,649301.04,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:03:31.041+00:00,KXBTC15M-26SEP142015-15,78179.05,0.6300,0.6400,0.6400,649301.04,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:03:33.190+00:00,KXBTC15M-26SEP142015-15,78179.05,0.6000,0.6100,0.6000,672117.05,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
