timestamp_utc,activo,marco,slug,market_id,condition_id,ts_end,offset_s,direccion_implicita,ask_implicita,profundidad_implicita_eur,ratio_implicita_vs_stake,mejor_ask_implicita,n_niveles_implicita
2026-08-19T09:20:00.404+00:00,DOGE,5min,doge-updown-5m-1787130900,3693142,0xa9d3cced2e37433e07683f0de2df57bfbc04ffc04a471d87598412cbdeec6f7c,1787131200,0,Up,0.51,7.8,7.4,0.51,7
2026-08-19T09:20:01.483+00:00,DOGE,5min,doge-updown-5m-1787130900,3693142,0xa9d3cced2e37433e07683f0de2df57bfbc04ffc04a471d87598412cbdeec6f7c,1787131200,1,Up,0.51,7.8,7.4,0.51,7
2026-08-19T09:20:02.764+00:00,DOGE,5min,doge-updown-5m-1787130900,3693142,0xa9d3cced2e37433e07683f0de2df57bfbc04ffc04a471d87598412cbdeec6f7c,1787131200,2,Up,0.51,7.8,7.4,0.51,7
2026-08-19T09:20:04.050+00:00,DOGE,5min,doge-updown-5m-1787130900,3693142,0xa9d3cced2e37433e07683f0de2df57bfbc04ffc04a471d87598412cbdeec6f7c,1787131200,3,Up,0.51,7.8,7.4,0.51,7
2026-08-19T09:20:00.510+00:00,SOL,5min,sol-updown-5m-1787130900,3693129,0x100f2c402ab4b240d16607eca742360ad60bf49ed46c1c384c62119e94ab3c31,1787131200,0,Up,0.51,15.55,14.8,0.51,7
2026-08-19T09:20:01.416+00:00,SOL,5min,sol-updown-5m-1787130900,3693129,0x100f2c402ab4b240d16607eca742360ad60bf49ed46c1c384c62119e94ab3c31,1787131200,1,Up,0.51,15.55,14.8,0.51,7
2026-08-19T09:20:03.260+00:00,SOL,5min,sol-updown-5m-1787130900,3693129,0x100f2c402ab4b240d16607eca742360ad60bf49ed46c1c384c62119e94ab3c31,1787131200,2,Up,0.51,15.55,14.8,0.51,7
2026-08-19T09:20:04.130+00:00,SOL,5min,sol-updown-5m-1787130900,3693129,0x100f2c402ab4b240d16607eca742360ad60bf49ed46c1c384c62119e94ab3c31,1787131200,3,Up,0.51,15.55,14.8,0.51,7
2026-08-19T09:20:00.428+00:00,XRP,5min,xrp-updown-5m-1787130900,3693140,0x89cb651ed437267ccf4258be015505821e37e71f9c381a66ea45e4ab1fb7bcce,1787131200,0,Up,0.51,7.8,7.4,0.51,7
2026-08-19T09:20:01.490+00:00,XRP,5min,xrp-updown-5m-1787130900,3693140,0x89cb651ed437267ccf4258be015505821e37e71f9c381a66ea45e4ab1fb7bcce,1787131200,1,Up,0.51,7.8,7.4,0.51,7
