timestamp_utc,wallet,market_slug,title,outcome,asset,end_date,avg_price_wallet,size_wallet,usd_cost_wallet,cur_price_gamma,mejor_ask_deteccion,profundidad_eur_deteccion,ratio_vs_stake_deteccion
2026-08-28T07:12:09+00:00,0x60062ecbce1b143ed4955129377d2ff3632ac7e4,btc-updown-15m-1787900400,"Bitcoin Up or Down - August 28, 3:00AM-3:15AM ET",Down,93427041294394607280664045195932962380693456122223982823236088215421883686748,2026-08-28,0.9207,65.32,60.1442,0.9945,0.998,0.0,0.0
2026-08-28T07:12:09+00:00,0x60062ecbce1b143ed4955129377d2ff3632ac7e4,ethereum-above-2500-on-august-28-2026,"Will the price of Ethereum be above $2,500 on August 28?",No,29811835934929831620629714930008639410291614984691962606615741184932650896928,2026-08-28,0.3517,52,18.2898,0.525,0.53,0.0,0.0
2026-08-28T07:12:09+00:00,0x60062ecbce1b143ed4955129377d2ff3632ac7e4,bitcoin-up-or-down-on-august-28-2026,Bitcoin Up or Down on August 28?,Down,65705912334605106851957908371743640327280767485144180814806716635842541120844,2026-08-28,0.4515,51,23.0267,0.645,0.66,0.0,0.0
2026-08-28T07:12:09+00:00,0x60062ecbce1b143ed4955129377d2ff3632ac7e4,bitcoin-above-78k-on-august-28-2026,"Will the price of Bitcoin be above $78,000 on August 28?",No,37753725688834818979371254399968206451810276538703328360246363314896718177231,2026-08-28,0.1356,30,4.07,0.13,0.139,108.2,103.0
2026-08-28T07:12:10+00:00,0x60062ecbce1b143ed4955129377d2ff3632ac7e4,ethereum-above-2600-on-august-28-2026,"Will the price of Ethereum be above $2,600 on August 28?",Yes,68655946460453873949776403858013638573972679108170483782013841852432412841986,2026-08-28,0.1199,14.75,1.7699,0.049,0.057,696.88,663.7
2026-08-28T07:12:10+00:00,0x60062ecbce1b143ed4955129377d2ff3632ac7e4,btc-updown-5m-1787898600,"Bitcoin Up or Down - August 28, 2:30AM-2:35AM ET",Down,58318013866710783639459465801461682305786756135589733226589940069398157665325,2026-08-28,0.3849,12.1578,4.6799,0,,,
2026-08-28T07:12:10+00:00,0x60062ecbce1b143ed4955129377d2ff3632ac7e4,ethereum-up-or-down-on-august-28-2026,Ethereum Up or Down on August 28?,Up,79669939320109798454021029440995295642088168851598429105025797210404868784089,2026-08-28,0.31,10,3.1,0.295,0.3,1948.29,1855.5
2026-08-28T07:12:10+00:00,0x60062ecbce1b143ed4955129377d2ff3632ac7e4,eth-updown-5m-1787898000,"Ethereum Up or Down - August 28, 2:20AM-2:25AM ET",Down,77895302950118391168524030070379858176719833987636529744920413465824429057006,2026-08-28,0.39,5,1.95,0,,,
2026-08-28T07:12:11+00:00,0xe9c6312464b52aa3eff13d822b003282075995c9,bitcoin-up-or-down-on-august-28-2026,Bitcoin Up or Down on August 28?,Down,65705912334605106851957908371743640327280767485144180814806716635842541120844,2026-08-28,0.5282,14724.3831,7778.0762,0.645,0.66,0.0,0.0
2026-08-28T07:12:11+00:00,0xe9c6312464b52aa3eff13d822b003282075995c9,bitcoin-above-80k-on-august-28-2026,"Will the price of Bitcoin be above $80,000 on August 28?",Yes,39335043934082264809746393806624741014936377990970107757281599195128184220075,2026-08-28,0.4367,6415.0669,2801.7292,0.425,0.42,4214.53,4013.8
