timestamp_utc,market_id,condition_id,activo,marco,end_date,restante_s,ask_yes,ask_no,ask_sum,bid_yes,bid_no
2026-07-28T12:38:56+00:00,3122039,0xe9e695a9798f678e6fce041462c625a64ce9a787d4c9447f194d2eeeda8a3272,ETH,60min,2026-07-29T01:00:00+00:00,44463.7,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:38:56+00:00,3122425,0x81817b3fbc909ce74bcd892e7b3d8337426bf7c2a48f6a1e25d4db30d3463609,ETH,60min,2026-07-29T02:00:00+00:00,48063.4,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:38:56+00:00,3117107,0x73bb3822b3de9dfd2407ce7242ab77d5f6db489f152f66abea74731032dc36b4,SOL,60min,2026-07-28T13:00:00+00:00,1263.2,0.54,0.48,1.02,0.52,0.46
2026-07-28T12:38:57+00:00,3117112,0x20b261b069406b08cbb9c9428b958856361c17216cf63236161cb126d008ff51,SOL,60min,2026-07-28T14:00:00+00:00,4863.0,0.54,0.53,1.07,0.47,0.46
2026-07-28T12:38:57+00:00,3117116,0xfc258e0c225e40d47fa8b11abe36d9a44550531507147688ae542e54d78be49a,SOL,60min,2026-07-28T15:00:00+00:00,8462.8,0.53,0.52,1.05,0.48,0.47
2026-07-28T12:38:57+00:00,3117120,0x7094ea56ee64741c6c71f872fb0d55eb287ecd3e4740364b80d339745f490db1,SOL,60min,2026-07-28T16:00:00+00:00,12062.5,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:38:57+00:00,3117124,0xfa249c56765a7799061ac2712112c800f11d8384a4074ae733ef0aa38f4878be,SOL,60min,2026-07-28T17:00:00+00:00,15662.3,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:38:57+00:00,3117128,0x61b6ba5cb75acb7788ef3f3d466fe1265c44891934f74446d1e52905c61258af,SOL,60min,2026-07-28T18:00:00+00:00,19262.1,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:38:58+00:00,3117132,0xc70a4604ceb3146b69aaeefcc75510c2aabb4be54133e2807bacd767664863aa,SOL,60min,2026-07-28T19:00:00+00:00,22861.8,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:38:58+00:00,3117136,0xe2ddd096755905cc8076e45e579f0e9c18b6032ab3e23b225610b63a046c5505,SOL,60min,2026-07-28T20:00:00+00:00,26461.6,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:38:58+00:00,3118229,0x8a2fa1be7a5935d5e6b83540707d403afe3e800c95d3e6353930ec141d1ff615,SOL,60min,2026-07-28T21:00:00+00:00,30061.4,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:38:58+00:00,3120806,0x5c4e4cb32876156aace1e7503fb5aa6ea6a057d95486da51ffb55b5998815c80,SOL,60min,2026-07-28T23:00:00+00:00,37261.2,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:38:58+00:00,3121327,0x5f0734335303aa501481591d1e7daf694884b1d2839d7e59468375b1be90baf5,SOL,60min,2026-07-29T00:00:00+00:00,40861.0,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:38:59+00:00,3122059,0xf9cb54d123dcd33794476e116e86900e88255d1f18a132535a99b731bf9eecb9,SOL,60min,2026-07-28T22:00:00+00:00,33660.8,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:38:59+00:00,3122064,0xa494ed9702e2b5cc5daf5ad14d86efcf5b034e4d357ad816f2fc0d277353c070,SOL,60min,2026-07-29T01:00:00+00:00,44460.6,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:38:59+00:00,3122426,0x7299fd44616e7e8564c570afc08ba9d3a6b7f501bc03b336f60df28fd5be7c17,SOL,60min,2026-07-29T02:00:00+00:00,48060.3,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:38:59+00:00,3122423,0xe51b06a2257b94859577da3a42e14abccf9190251f8aa1ae983e4ed81c1533b2,BTC,60min,2026-07-29T02:00:00+00:00,48060.1,0.5,0.51,1.01,0.49,0.5
2026-07-28T12:39:00+00:00,3123792,0x6b2be2d46640fc28934a08e3b31329a0f8b4b5271166504ed043a8db4fd562b6,SOL,60min,2026-07-29T03:00:00+00:00,51659.9,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:39:00+00:00,3123799,0xf36bce5d8b45d33fc6de1594ad0cfcc6ebba8d963b064f39b31d9cc122784ec9,SOL,60min,2026-07-29T04:00:00+00:00,55259.6,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:39:00+00:00,3123810,0xdcae117ceb888028bde2d0db8a546d39e72ab902daff79fe60f2f10e26b8db60,SOL,60min,2026-07-29T05:00:00+00:00,58859.4,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:39:00+00:00,3123727,0x0fcdde7d98403fb601de6a85bd7f41603a5332ab91d9c51dc0fb98912ab9d84b,ETH,60min,2026-07-29T03:00:00+00:00,51659.2,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:39:01+00:00,3123734,0x6c997c5ed81370120a109bec877f00f3f4d9dc05b4bf7260621db703450aaf89,ETH,60min,2026-07-29T04:00:00+00:00,55259.0,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:39:01+00:00,3123741,0x63c34c588ed324681bf5579d27dcaf147afedfb4b61becaa05d1026b987552e2,ETH,60min,2026-07-29T05:00:00+00:00,58858.7,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:39:01+00:00,3123680,0xc210bf8ddd7ce50f48e33a440a03660bbc32284fca81bcaee39ec02e216631e6,BTC,60min,2026-07-29T03:00:00+00:00,51658.5,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:39:01+00:00,3123683,0xdd6ba409b974a0f0b7b268ed5c07c4ec30d722a252a88d2a4bcdf1adbb516e70,BTC,60min,2026-07-29T04:00:00+00:00,55258.3,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:39:01+00:00,3123689,0xbcefdd34226285b8ff029d9ff0e5693d918db28dd0996fe29712261d97767e6c,BTC,60min,2026-07-29T05:00:00+00:00,58858.1,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:39:02+00:00,3124461,0x1769456e581672a05bf889b3456f7a1c60d018b3201b4173b7ad8a0a44e33a36,SOL,60min,2026-07-29T06:00:00+00:00,62457.9,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:39:02+00:00,3124463,0xfd7279617f8cd654a20b042cddfce47921c44853afcc6c2ea83b8bc14a4aa968,SOL,60min,2026-07-29T07:00:00+00:00,66057.7,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:39:02+00:00,3124465,0x39676e7317a13be0f4c8e24bbaf991a8d9e6b9612be8143c990da76da77e65cd,SOL,60min,2026-07-29T08:00:00+00:00,69657.5,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:39:02+00:00,3124458,0x0a58a174196c09d2cd8de29b796909d3750b2512cdecd3caca265e79a277bf13,ETH,60min,2026-07-29T06:00:00+00:00,62457.3,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:39:02+00:00,3124459,0x9f4884946a18bc27b896ca82494d656c6d20badf3f3b4b2c0dfb78bc3922b695,ETH,60min,2026-07-29T07:00:00+00:00,66057.1,0.51,0.5,1.01,0.5,0.49
