veto_timestamp_utc,market_id,strategy,subtype,direction,motivo_origen,precio_plan,stake_eur,ratio_inicial,muestras_json,mejora_detectada,t_mejora_s,ratio_max
2026-08-02T16:34:07+00:00,3266796,FAVORITO_CONFIRMADO_5MIN_ALTACONVICCION,DOGE#5min,BUY_YES,candidato_evaluacion,0.71,1.05,0.0,"[[5.0,0.0,0.99],[10.1,0.0,null],[15.2,0.0,null],[20.3,0.0,null],[25.4,0.0,null],[30.4,0.0,null],[35.5,0.0,null],[40.7,0.0,null],[45.7,0.0,null],[50.8,0.0,null],[55.9,0.0,null],[61.1,0.0,null]]",0,,0.0
2026-08-02T16:34:07+00:00,3266801,FAVORITO_CONFIRMADO_5MIN_ALTACONVICCION,SOL#5min,BUY_YES,candidato_evaluacion,0.7,1.05,0.0,"[[5.0,0.0,null],[10.1,0.0,null],[15.2,0.0,null],[20.2,0.0,null],[25.3,0.0,null],[30.4,0.0,null],[35.5,0.0,null],[40.6,0.0,null],[45.7,0.0,null],[50.8,0.0,null],[55.9,0.0,null],[61.1,0.0,null]]",0,,0.0
2026-08-02T16:34:06+00:00,3266803,FAVORITO_CONFIRMADO,XRP#5min,BUY_YES,candidato_evaluacion,0.55,1.05,0.0,"[[5.0,0.0,null],[10.1,0.0,null],[15.2,0.0,null],[20.3,0.0,null],[25.4,0.0,null],[30.5,0.0,null],[35.6,0.0,null],[40.7,0.0,null],[45.8,0.0,null],[50.9,0.0,null],[56.0,0.0,null],[61.1,0.0,null]]",0,,0.0
2026-08-02T16:34:08+00:00,3266799,FAVORITO_CONFIRMADO_15MIN_ALTACONVICCION,BTC#15min,BUY_YES,candidato_evaluacion,0.71,1.05,0.0,"[[5.0,0.0,0.89],[10.1,0.0,0.91],[15.2,0.0,0.91],[20.3,0.0,0.91],[25.4,0.0,0.91],[30.5,0.0,0.91],[35.6,0.0,0.91],[40.7,0.0,0.89],[45.8,0.0,0.89],[50.9,0.0,0.92],[56.0,0.0,0.9],[61.1,0.0,0.92]]",0,,0.0
2026-08-02T16:34:08+00:00,3266804,FAVORITO_CONFIRMADO_15MIN_ALTACONVICCION,ETH#15min,BUY_YES,candidato_evaluacion,0.71,1.05,0.0,"[[5.0,0.0,0.88],[10.1,0.0,0.9],[15.2,0.0,0.9],[20.3,0.0,0.9],[25.4,0.0,0.9],[30.5,0.0,0.9],[35.6,0.0,0.91],[40.7,0.0,0.89],[45.8,0.0,0.88],[50.9,0.0,0.88],[56.0,0.0,0.88],[61.1,0.0,0.88]]",0,,0.0
2026-08-02T16:35:20+00:00,3266794,UPDOWN_GBM_15M_TARDIO,XRP#15min,BUY_YES,candidato_evaluacion,0.5,1.05,0.0,"[[5.0,0.0,0.93],[10.1,0.0,0.9],[15.2,0.0,0.93],[20.3,0.0,0.94],[25.5,0.0,0.94],[30.8,0.0,0.94],[35.9,0.0,0.91],[41.0,0.0,0.92],[46.2,0.0,0.92],[51.3,0.0,0.92],[56.4,0.0,0.95],[61.5,0.0,0.95]]",0,,0.0
2026-08-02T16:35:20+00:00,3266799,GBM_LATE_15M_TARDIO,BTC#15min,BUY_YES,candidato_evaluacion,0.505,1.05,0.0,"[[5.0,0.0,0.92],[10.1,0.0,0.91],[15.2,0.0,0.94],[20.3,0.0,0.94],[25.5,0.0,0.94],[30.9,0.0,0.94],[36.0,0.0,0.93],[41.2,0.0,0.93],[46.3,0.0,0.93],[51.4,0.0,0.94],[56.5,0.0,0.94],[61.7,0.0,0.94]]",0,,0.0
2026-08-02T16:35:21+00:00,3266800,GBM_LATE_15M_TARDIO,SOL#15min,BUY_YES,candidato_evaluacion,0.505,1.05,0.0,"[[5.0,0.0,0.87],[10.1,0.0,0.85],[15.2,0.0,0.88],[20.3,0.0,0.89],[25.5,0.0,0.89],[30.8,0.0,0.89],[36.0,0.0,0.85],[41.2,0.0,0.85],[46.3,0.0,0.89],[51.4,0.0,0.89],[56.5,0.0,0.89],[61.7,0.0,0.89]]",0,,0.0
2026-08-02T16:35:21+00:00,3266855,FAVORITO_CONFIRMADO,ETH#5min,BUY_NO,candidato_evaluacion,0.56,1.05,0.0,"[[5.0,230.6,0.49],[10.1,74.6,0.56],[15.2,371.3,0.4],[20.3,525.1,0.35],[25.5,551.3,0.37],[30.9,364.8,0.43],[36.0,0.0,0.63],[41.2,0.0,0.64],[46.4,0.0,0.6],[51.5,0.0,0.61],[56.6,0.0,0.63],[61.7,0.0,0.62]]",1,5.0,551.3
2026-08-02T16:35:21+00:00,3266804,GBM_LATE_15M_TARDIO,ETH#15min,BUY_YES,candidato_evaluacion,0.495,1.05,0.0,"[[5.0,0.0,0.91],[10.1,0.0,0.89],[15.2,0.0,0.91],[20.3,0.0,0.91],[25.5,0.0,0.91],[30.8,0.0,0.91],[35.9,0.0,0.89],[41.1,0.0,0.89],[46.4,0.0,0.89],[51.5,0.0,0.89],[56.6,0.0,0.89],[61.7,0.0,0.89]]",0,,0.0
