resolution_ts,strategy,subtype,market_id,decision,taker_price,limit_price,filled,n_trades_vistos,acierto,pnl1_taker,pnl1_maker
2026-07-02T12:18:00+00:00,GBM_LATE_15M,SOL#15min,2755910,BUY_NO,0.495,0.475,0,268,1,1.0202,0.0
2026-07-02T12:18:00+00:00,GBM_LATE_15M,XRP#15min,2755905,BUY_NO,0.485,0.465,1,83,0,-1.0,-1.0
2026-07-02T12:19:19+00:00,GBM_LATE_15M,BTC#15min,2755912,BUY_YES,0.505,0.485,0,500,0,-1.0,0.0
2026-07-02T12:19:19+00:00,UPDOWN_GBM,BTC#15min,2755912,BUY_YES,0.315,0.295,0,500,0,-1.0,0.0
2026-07-02T12:32:47+00:00,UPDOWN_GBM,BTC#15min,2755953,BUY_YES,0.475,0.455,1,500,0,-1.0,-1.0
2026-07-02T12:32:47+00:00,GBM_LATE_15M,BTC#15min,2755953,BUY_NO,0.365,0.345,0,500,1,1.7397,0.0
2026-07-02T12:34:07+00:00,UPDOWN_GBM,ETH#15min,2755947,BUY_YES,0.5,0.48,1,500,1,1.0,1.0833
2026-07-02T12:34:07+00:00,GBM_LATE_15M,SOL#15min,2755945,BUY_NO,0.425,0.405,0,195,1,1.3529,0.0
2026-07-02T12:34:07+00:00,GBM_LATE_15M,ETH#15min,2755947,BUY_NO,0.405,0.385,0,500,0,-1.0,0.0
2026-07-02T12:34:07+00:00,GBM_LATE_15M,XRP#15min,2755952,BUY_NO,0.52,0.5,1,193,0,-1.0,-1.0
2026-07-02T12:46:07+00:00,GBM_LATE_15M,SOL#15min,2755970,BUY_NO,0.495,0.475,0,280,1,1.0202,0.0
2026-07-02T12:47:28+00:00,UPDOWN_GBM,ETH#15min,2755971,BUY_YES,0.485,0.465,1,500,0,-1.0,-1.0
2026-07-02T12:47:28+00:00,GBM_LATE_15M,ETH#15min,2755971,BUY_YES,0.485,0.465,1,500,0,-1.0,-1.0
2026-07-02T12:48:47+00:00,UPDOWN_GBM,BTC#15min,2755981,BUY_YES,0.505,0.485,0,500,1,0.9802,0.0
2026-07-02T12:48:47+00:00,GBM_LATE_15M,BTC#15min,2755981,BUY_YES,0.505,0.485,0,500,1,0.9802,0.0
2026-07-02T12:51:26+00:00,GBM_LATE_15M,XRP#15min,2755968,BUY_YES,0.48,0.46,0,331,0,-1.0,0.0
2026-07-02T13:03:29+00:00,GBM_LATE_15M,BTC#15min,2756097,BUY_NO,0.175,0.155,1,500,0,-1.0,-1.0
2026-07-02T13:04:48+00:00,GBM_LATE_15M,SOL#15min,2756092,BUY_YES,0.515,0.495,0,325,1,0.9417,0.0
2026-07-02T13:19:27+00:00,UPDOWN_GBM,BTC#15min,2756184,BUY_YES,0.495,0.475,0,500,1,1.0202,0.0
2026-07-02T13:19:27+00:00,GBM_LATE_15M,BTC#15min,2756184,BUY_YES,0.425,0.405,0,500,1,1.3529,0.0
2026-07-02T13:20:47+00:00,GBM_LATE_15M,ETH#15min,2756173,BUY_NO,0.585,0.565,1,500,0,-1.0,-1.0
2026-07-02T13:30:00+00:00,UPDOWN_GBM,DOGE#15min,2756240,BUY_YES,0.475,0.455,0,10,1,1.1053,0.0
2026-07-02T13:30:00+00:00,GBM_LATE_15M,ETH#15min,2756241,BUY_YES,0.485,0.465,0,394,1,1.0619,0.0
2026-07-02T13:31:30+00:00,UPDOWN_GBM,BNB#15min,2756236,BUY_YES,0.475,0.455,0,8,0,-1.0,0.0
2026-07-02T13:32:50+00:00,GBM_LATE_15M,XRP#15min,2756233,BUY_YES,0.495,0.475,1,128,1,1.0202,1.1053
2026-07-02T13:35:29+00:00,GBM_LATE_15M,BTC#15min,2756238,BUY_YES,0.405,0.385,0,500,1,1.4691,0.0
2026-07-02T13:36:48+00:00,GBM_LATE_15M,SOL#15min,2756235,BUY_NO,0.505,0.485,1,381,1,0.9802,1.0619
2026-07-02T13:46:13+00:00,GBM_LATE_15M,SOL#15min,2756265,BUY_NO,0.255,0.235,1,250,0,-1.0,-1.0
2026-07-02T13:46:13+00:00,GBM_LATE_15M,ETH#15min,2756266,BUY_NO,0.175,0.155,1,478,0,-1.0,-1.0
2026-07-02T13:48:53+00:00,GBM_LATE_15M,XRP#15min,2756270,BUY_YES,0.48,0.46,0,244,1,1.0833,0.0
2026-07-02T13:50:12+00:00,GBM_LATE_15M,BTC#15min,2756274,BUY_NO,0.355,0.335,1,500,0,-1.0,-1.0
2026-07-02T14:02:14+00:00,GBM_LATE_15M,ETH#15min,2756341,BUY_YES,0.47,0.45,0,500,0,-1.0,0.0
2026-07-02T14:04:54+00:00,GBM_LATE_15M,SOL#15min,2756346,BUY_YES,0.48,0.46,1,399,0,-1.0,-1.0
2026-07-02T14:06:14+00:00,GBM_LATE_15M,BTC#15min,2756340,BUY_YES,0.395,0.375,0,500,0,-1.0,0.0
2026-07-02T14:18:27+00:00,GBM_LATE_15M,ETH#15min,2756389,BUY_YES,0.505,0.485,1,500,1,0.9802,1.0619
2026-07-02T14:19:59+00:00,GBM_LATE_15M,XRP#15min,2756384,BUY_YES,0.485,0.465,1,397,0,-1.0,-1.0
2026-07-02T14:19:59+00:00,GBM_LATE_15M,SOL#15min,2756385,BUY_YES,0.325,0.305,1,226,0,-1.0,-1.0
2026-07-02T14:19:59+00:00,UPDOWN_GBM,XRP#15min,2756384,BUY_YES,0.485,0.465,1,397,0,-1.0,-1.0
2026-07-02T14:21:23+00:00,GBM_LATE_15M,BTC#15min,2756390,BUY_YES,0.505,0.485,0,500,1,0.9802,0.0
2026-07-02T14:31:04+00:00,UPDOWN_GBM,BTC#15min,2756535,BUY_YES,0.475,0.455,1,500,0,-1.0,-1.0
2026-07-02T14:31:04+00:00,GBM_LATE_15M,SOL#15min,2756527,BUY_NO,0.485,0.465,0,162,1,1.0619,0.0
2026-07-02T14:31:04+00:00,GBM_LATE_15M,XRP#15min,2756532,BUY_NO,0.49,0.47,0,151,1,1.0408,0.0
2026-07-02T14:31:04+00:00,GBM_LATE_15M,BTC#15min,2756535,BUY_YES,0.485,0.465,1,500,0,-1.0,-1.0
2026-07-02T14:31:04+00:00,GBM_LATE_15M,ETH#15min,2756526,BUY_YES,0.175,0.155,1,422,0,-1.0,-1.0
2026-07-02T14:47:15+00:00,UPDOWN_GBM,ETH#15min,2756570,BUY_NO,0.515,0.495,1,410,1,0.9417,1.0202
2026-07-02T14:47:15+00:00,GBM_LATE_15M,ETH#15min,2756570,BUY_NO,0.355,0.335,1,410,1,1.8169,1.9851
2026-07-02T14:49:55+00:00,GBM_LATE_15M,SOL#15min,2756566,BUY_NO,0.305,0.285,1,440,1,2.2787,2.5088
2026-07-02T14:49:55+00:00,GBM_LATE_15M,BTC#15min,2756567,BUY_NO,0.425,0.405,0,500,1,1.3529,0.0
2026-07-02T14:49:55+00:00,GBM_LATE_15M,XRP#15min,2756576,BUY_NO,0.48,0.46,1,221,1,1.0833,1.1739
2026-07-02T15:01:54+00:00,UPDOWN_GBM,BTC#15min,2756650,BUY_NO,0.505,0.485,1,500,0,-1.0,-1.0
2026-07-02T15:01:54+00:00,GBM_LATE_15M,BTC#15min,2756650,BUY_YES,0.505,0.485,0,500,1,0.9802,0.0
2026-07-02T15:03:17+00:00,GBM_LATE_15M,XRP#15min,2756643,BUY_NO,0.48,0.46,1,147,0,-1.0,-1.0
2026-07-02T15:04:36+00:00,GBM_LATE_15M,SOL#15min,2756646,BUY_NO,0.485,0.465,1,213,0,-1.0,-1.0
2026-07-02T15:15:18+00:00,GBM_LATE_15M,ETH#15min,2757663,BUY_NO,0.475,0.455,0,316,1,1.1053,0.0
2026-07-02T15:16:38+00:00,GBM_LATE_15M,BTC#15min,2757665,BUY_NO,0.445,0.425,0,500,1,1.2472,0.0
2026-07-02T15:16:38+00:00,GBM_LATE_15M,SOL#15min,2757666,BUY_NO,0.385,0.365,0,199,1,1.5974,0.0
2026-07-02T15:16:38+00:00,GBM_LATE_15M,XRP#15min,2757667,BUY_NO,0.48,0.46,0,69,1,1.0833,0.0
2026-07-02T15:31:30+00:00,UPDOWN_GBM,ETH#15min,2757714,BUY_NO,0.495,0.475,1,479,0,-1.0,-1.0
2026-07-02T15:31:30+00:00,GBM_LATE_15M,ETH#15min,2757714,BUY_YES,0.52,0.5,1,479,1,0.9231,1.0
2026-07-02T15:32:51+00:00,GBM_LATE_15M,BTC#15min,2757715,BUY_YES,0.505,0.485,0,500,1,0.9802,0.0
2026-07-02T15:45:12+00:00,GBM_LATE_15M,SOL#15min,2757762,BUY_NO,0.345,0.325,1,182,0,-1.0,-1.0
2026-07-02T15:46:35+00:00,GBM_LATE_15M,XRP#15min,2757766,BUY_YES,0.49,0.47,0,76,1,1.0408,0.0
2026-07-02T15:47:55+00:00,GBM_LATE_15M,ETH#15min,2757759,BUY_NO,0.505,0.485,1,500,0,-1.0,-1.0
2026-07-02T15:50:34+00:00,UPDOWN_GBM,BTC#15min,2757764,BUY_YES,0.455,0.435,0,500,0,-1.0,0.0
2026-07-02T15:50:34+00:00,GBM_LATE_15M,BTC#15min,2757764,BUY_NO,0.355,0.335,0,500,1,1.8169,0.0
2026-07-02T16:00:39+00:00,UPDOWN_GBM,ETH#15min,2757886,BUY_YES,0.495,0.475,1,352,0,-1.0,-1.0
2026-07-02T16:00:39+00:00,GBM_LATE_15M,ETH#15min,2757886,BUY_YES,0.425,0.405,1,352,0,-1.0,-1.0
2026-07-02T16:02:03+00:00,GBM_LATE_15M,XRP#15min,2757881,BUY_YES,0.485,0.465,1,78,0,-1.0,-1.0
2026-07-02T16:04:40+00:00,GBM_LATE_15M,BTC#15min,2757884,BUY_NO,0.515,0.495,0,500,1,0.9417,0.0
2026-07-02T16:04:40+00:00,GBM_LATE_15M,SOL#15min,2757885,BUY_YES,0.485,0.465,1,287,1,1.0619,1.1505
2026-07-02T16:16:56+00:00,UPDOWN_GBM,ETH#15min,2758293,BUY_NO,0.515,0.495,1,500,0,-1.0,-1.0
2026-07-02T16:16:56+00:00,GBM_LATE_15M,ETH#15min,2758293,BUY_NO,0.505,0.485,1,500,0,-1.0,-1.0
2026-07-02T16:18:19+00:00,GBM_LATE_15M,BTC#15min,2758296,BUY_NO,0.435,0.415,1,500,0,-1.0,-1.0
2026-07-02T16:18:19+00:00,GBM_LATE_15M,SOL#15min,2758312,BUY_YES,0.435,0.415,1,322,1,1.2989,1.4096
2026-07-02T16:30:27+00:00,UPDOWN_GBM,BTC#15min,2758485,BUY_YES,0.505,0.485,1,500,0,-1.0,-1.0
2026-07-02T16:30:27+00:00,GBM_LATE_15M,XRP#15min,2758482,BUY_NO,0.485,0.465,0,134,1,1.0619,0.0
2026-07-02T16:30:27+00:00,GBM_LATE_15M,BTC#15min,2758485,BUY_NO,0.495,0.475,0,500,1,1.0202,0.0
