resolution_timestamp,prediction_timestamp,strategy,subtype,market_id,question,end_date,decision,precio_yes_mercado,prob_yes_modelo,edge_neto,edge_direccional,outcome_real,acierto,pnl_bruto,pnl_neto
2026-06-24T07:27:02+00:00,2026-06-24T07:21:34+00:00,SMART_FLOW_1H,,2649538,"Bitcoin Up or Down - June 24, 3:20AM-3:25AM ET",2026-06-24T07:25:00,BUY_YES,0.5050,0.6050,0.0800,0.0800,NO,0,-0.9000,-0.9180
2026-06-24T07:30:59+00:00,2026-06-24T07:09:48+00:00,UPDOWN_GBM,SOL#15min,2649525,"Solana Up or Down - June 24, 3:15AM-3:30AM ET",2026-06-24T07:30:00,BUY_NO,0.5050,0.3958,-0.0892,0.0892,NO,1,0.9182,0.9002
2026-06-24T07:30:59+00:00,2026-06-24T07:21:34+00:00,SMART_FLOW_1H,,2649525,"Solana Up or Down - June 24, 3:15AM-3:30AM ET",2026-06-24T07:30:00,BUY_YES,0.4150,0.5150,0.0800,0.0800,NO,0,-0.9000,-0.9180
2026-06-24T07:32:18+00:00,2026-06-24T07:09:48+00:00,UPDOWN_GBM,BTC#15min,2649529,"Bitcoin Up or Down - June 24, 3:15AM-3:30AM ET",2026-06-24T07:30:00,BUY_YES,0.5050,0.6783,0.1533,0.1533,NO,0,-0.9000,-0.9180
2026-06-24T07:32:18+00:00,2026-06-24T07:21:34+00:00,SMART_FLOW_1H,,2649529,"Bitcoin Up or Down - June 24, 3:15AM-3:30AM ET",2026-06-24T07:30:00,BUY_YES,0.4350,0.5350,0.0800,0.0800,NO,0,-0.9000,-0.9180
2026-06-24T07:46:31+00:00,2026-06-24T07:33:25+00:00,SMART_FLOW_1H,,2649560,"Ethereum Up or Down - June 24, 3:30AM-3:45AM ET",2026-06-24T07:45:00,BUY_YES,0.5650,0.6650,0.0800,0.0800,NO,0,-0.9000,-0.9180
2026-06-24T07:46:31+00:00,2026-06-24T07:33:25+00:00,SMART_FLOW_1H,,2649558,"Bitcoin Up or Down - June 24, 3:30AM-3:45AM ET",2026-06-24T07:45:00,BUY_YES,0.6350,0.7350,0.0800,0.0800,YES,1,0.5173,0.4993
2026-06-24T07:51:31+00:00,2026-06-24T07:43:49+00:00,UPDOWN_GBM,SOL#5min,2649635,"Solana Up or Down - June 24, 3:45AM-3:50AM ET",2026-06-24T07:50:00,BUY_YES,0.5050,0.5871,0.0621,0.0621,NO,0,-0.9000,-0.9180
2026-06-24T07:51:31+00:00,2026-06-24T07:43:49+00:00,UPDOWN_GBM,BTC#5min,2649626,"Bitcoin Up or Down - June 24, 3:45AM-3:50AM ET",2026-06-24T07:50:00,BUY_YES,0.4950,0.6435,0.1285,0.1285,NO,0,-0.9000,-0.9180
2026-06-24T07:59:05+00:00,2026-06-24T07:13:40+00:00,SMART_FLOW_1H,,2637675,"Bitcoin Up or Down - June 24, 3AM ET",2026-06-24T08:00:00,BUY_YES,0.4850,0.5850,0.0800,0.0800,NO,0,-0.9000,-0.9180
