market_id,strategy,subtype,direction,ts_exec,outcome_real,resultado_nuestro,n_validadas_lado_ganador,n_validadas_lado_perdedor,lag_min_ganador_s,lags_ganador_s
2808584,GBM_LATE_15M,ETH#15min,BUY_YES,2026-07-06T16:48:01+00:00,NO,PERDIDA,52,14,4.0,297.0;295.0;294.0;292.0;292.0;291.0;289.0;276.0;265.0;265.0;265.0;265.0;264.0;261.0;258.0;258.0;256.0;255.0;253.0;253.0;252.0;250.0;249.0;247.0;246.0;246.0;244.0;243.0;241.0;241.0;240.0;238.0;232.0;232.0;231.0;229.0;225.0;204.0;174.0;172.0;171.0;159.0;144.0;144.0;142.0;106.0;88.0;88.0;63.0;61.0;4.0;-158.0
2808587,GBM_LATE_15M,XRP#15min,BUY_YES,2026-07-06T16:49:28+00:00,YES,GANANCIA,8,8,175.0,283.0;249.0;241.0;181.0;181.0;175.0;-230.0;-248.0
2808623,GBM_LATE_15M,ETH#15min,BUY_YES,2026-07-06T17:11:32+00:00,YES,GANANCIA,30,38,3.0,176.0;174.0;149.0;123.0;119.0;78.0;51.0;36.0;27.0;26.0;23.0;3.0;-6.0;-7.0;-9.0;-9.0;-18.0;-18.0;-18.0;-18.0;-18.0;-19.0;-19.0;-19.0;-28.0;-37.0;-43.0;-48.0;-55.0;-175.0
2808657,GBM_LATE_15M,SOL#15min,BUY_YES,2026-07-06T17:18:25+00:00,YES,GANANCIA,11,5,41.0,292.0;252.0;235.0;142.0;112.0;88.0;87.0;-41.0;-68.0;-150.0;-168.0
2808649,GBM_LATE_15M,XRP#15min,BUY_NO,2026-07-06T17:27:22+00:00,NO,GANANCIA,12,14,12.0,115.0;114.0;112.0;57.0;49.0;-12.0;-14.0;-24.0;-50.0;-83.0;-123.0;-135.0
2808700,GBM_LATE_15M,XRP#15min,BUY_YES,2026-07-06T17:33:30+00:00,NO,PERDIDA,5,11,1.0,203.0;80.0;20.0;20.0;1.0
2808768,GBM_LATE_15M,XRP#15min,BUY_NO,2026-07-06T17:50:26+00:00,NO,GANANCIA,14,12,16.0,90.0;90.0;90.0;63.0;63.0;63.0;-16.0;-24.0;-25.0;-33.0;-33.0;-40.0;-42.0;-106.0
2810168,GBM_LATE_15M,SOL#15min,BUY_YES,2026-07-06T18:07:32+00:00,NO,PERDIDA,16,20,10.0,275.0;228.0;204.0;204.0;203.0;198.0;192.0;134.0;-10.0;-141.0;-162.0;-162.0;-198.0;-199.0;-264.0;-286.0
2810240,GBM_LATE_15M,SOL#15min,BUY_NO,2026-07-06T18:20:06+00:00,YES,PERDIDA,7,14,59.0,122.0;122.0;59.0;59.0;-92.0;-95.0;-217.0
2810242,GBM_LATE_15M,XRP#15min,BUY_NO,2026-07-06T18:20:07+00:00,YES,PERDIDA,33,9,12.0,88.0;87.0;64.0;64.0;57.0;55.0;13.0;-12.0;-78.0;-164.0;-170.0;-171.0;-179.0;-180.0;-188.0;-188.0;-195.0;-197.0;-206.0;-207.0;-216.0;-216.0;-225.0;-225.0;-234.0;-234.0;-242.0;-242.0;-249.0;-251.0;-258.0;-260.0;-275.0
2810272,GBM_LATE_15M,SOL#15min,BUY_NO,2026-07-06T18:34:31+00:00,YES,PERDIDA,16,19,1.0,156.0;154.0;145.0;82.0;78.0;78.0;72.0;42.0;37.0;30.0;25.0;4.0;1.0;-239.0;-240.0;-255.0
2811193,GBM_LATE_15M,SOL#15min,BUY_YES,2026-07-06T23:13:17+00:00,NO,PERDIDA,11,8,9.0,65.0;53.0;48.0;47.0;9.0;-27.0;-72.0;-84.0;-114.0;-169.0;-214.0
2811190,GBM_LATE_15M,XRP#15min,BUY_YES,2026-07-06T23:14:20+00:00,YES,GANANCIA,4,1,0.0,6.0;0.0;-9.0;-102.0
2811289,GBM_LATE_15M,ETH#15min,BUY_YES,2026-07-06T23:55:47+00:00,NO,PERDIDA,7,5,0.0,150.0;89.0;0.0;-166.0;-216.0;-255.0;-276.0
2814722,GBM_LATE_15M,XRP#15min,BUY_YES,2026-07-07T06:49:01+00:00,YES,GANANCIA,5,3,15.0,64.0;64.0;15.0;-53.0;-89.0
2814763,GBM_LATE_15M,XRP#15min,BUY_YES,2026-07-07T07:03:53+00:00,YES,GANANCIA,5,2,66.0,297.0;66.0;-94.0;-144.0;-217.0
2814760,GBM_LATE_15M,SOL#15min,BUY_YES,2026-07-07T07:06:22+00:00,YES,GANANCIA,7,15,147.0,258.0;255.0;222.0;193.0;148.0;147.0;-282.0
2815288,GBM_LATE_15M,ETH#15min,BUY_YES,2026-07-07T09:18:48+00:00,NO,PERDIDA,24,22,5.0,298.0;298.0;296.0;290.0;278.0;278.0;206.0;206.0;206.0;205.0;205.0;205.0;205.0;205.0;173.0;167.0;143.0;143.0;-5.0;-52.0;-112.0;-127.0;-161.0;-203.0
2816978,GBM_LATE_15M,SOL#15min,BUY_YES,2026-07-07T13:05:42+00:00,NO,PERDIDA,27,24,1.0,280.0;242.0;178.0;155.0;121.0;106.0;97.0;67.0;23.0;1.0;-8.0;-10.0;-34.0;-190.0;-227.0;-229.0;-241.0;-242.0;-242.0;-244.0;-262.0;-268.0;-287.0;-289.0;-289.0;-290.0;-292.0
2817047,GBM_LATE_15M,ETH#15min,BUY_YES,2026-07-07T13:35:29+00:00,YES,GANANCIA,20,13,86.0,285.0;279.0;279.0;264.0;257.0;248.0;246.0;240.0;210.0;210.0;210.0;206.0;135.0;132.0;122.0;117.0;110.0;101.0;86.0;86.0
2817042,GBM_LATE_15M,SOL#15min,BUY_YES,2026-07-07T13:38:02+00:00,YES,GANANCIA,38,35,10.0,278.0;260.0;245.0;222.0;192.0;180.0;131.0;111.0;63.0;53.0;41.0;-10.0;-18.0;-19.0;-19.0;-34.0;-36.0;-51.0;-51.0;-70.0;-72.0;-72.0;-73.0;-90.0;-90.0;-120.0;-123.0;-126.0;-127.0;-127.0;-129.0;-129.0;-132.0;-178.0;-189.0;-192.0;-261.0;-270.0
2817322,GBM_LATE_15M,SOL#15min,BUY_YES,2026-07-07T13:54:14+00:00,NO,PERDIDA,21,30,0.0,285.0;276.0;276.0;267.0;234.0;234.0;228.0;225.0;51.0;41.0;36.0;32.0;29.0;3.0;0.0;-3.0;-3.0;-6.0;-6.0;-156.0;-157.0
2817325,GBM_LATE_15M,XRP#15min,BUY_YES,2026-07-07T13:54:41+00:00,NO,PERDIDA,14,24,22.0,297.0;176.0;138.0;113.0;101.0;-22.0;-24.0;-25.0;-25.0;-31.0;-33.0;-36.0;-183.0;-207.0
2817363,GBM_LATE_15M,XRP#15min,BUY_YES,2026-07-07T14:13:31+00:00,NO,PERDIDA,21,32,0.0,34.0;12.0;6.0;0.0;-26.0;-29.0;-30.0;-32.0;-39.0;-92.0;-92.0;-95.0;-98.0;-107.0;-192.0;-197.0;-210.0;-218.0;-236.0;-237.0;-293.0
2817629,GBM_LATE_15M,SOL#15min,BUY_YES,2026-07-07T14:21:15+00:00,YES,GANANCIA,22,18,4.0,238.0;128.0;103.0;79.0;70.0;50.0;20.0;4.0;-17.0;-23.0;-25.0;-53.0;-80.0;-88.0;-92.0;-92.0;-130.0;-145.0;-184.0;-212.0;-269.0;-299.0
2817661,GBM_LATE_15M,XRP#15min,BUY_YES,2026-07-07T14:35:27+00:00,NO,PERDIDA,7,13,4.0,287.0;-4.0;-32.0;-37.0;-71.0;-118.0;-277.0
2817797,GBM_LATE_15M,ETH#15min,BUY_YES,2026-07-07T15:12:53+00:00,NO,PERDIDA,27,32,4.0,17.0;17.0;-4.0;-18.0;-25.0;-27.0;-28.0;-30.0;-40.0;-48.0;-51.0;-57.0;-58.0;-58.0;-70.0;-72.0;-72.0;-106.0;-108.0;-112.0;-201.0;-232.0;-273.0;-285.0;-285.0;-285.0;-285.0
2817941,GBM_LATE_15M,SOL#15min,BUY_YES,2026-07-07T15:35:09+00:00,YES,GANANCIA,22,26,5.0,211.0;136.0;107.0;97.0;56.0;52.0;44.0;44.0;29.0;17.0;13.0;13.0;10.0;5.0;5.0;-62.0;-95.0;-122.0;-214.0;-215.0;-241.0;-263.0
