timestamp_utc,slug,market_id,condition_id,activo,end_date,restante_s_objetivo,restante_s_real,precio_yes,lado_favorito,best_ask_favorito,ask_usd_le5c,best_bid_favorito,profundidad_favorito_usd,n_niveles_favorito,outcome_real,favorito_gano
2026-07-21T20:37:00+00:00,eth-updown-5m-1784666100,3005912,0x3579a4004531d5360a793e51e39300366211c0bf1d0d7e3836b31449dc4ba0fd,ETH,5min,2026-07-21T20:40:00+00:00,180,179.8,0.505,Up,0.73,579.02,0.72,21633.64,27,,
2026-07-21T20:37:00+00:00,sol-updown-15m-1784665800,3005864,0x07be2b2b02b84fe687f03d180971c84ac6a0214aac771c6fec07db9012b36780,SOL,15min,2026-07-21T20:45:00+00:00,480,479.6,0.725,Up,0.94,6990.25,0.93,6990.25,6,,
2026-07-21T20:40:00+00:00,eth-updown-15m-1784665800,3005859,0xee41c35217c9ce645cf793e329ee3fa1d2c5e6e36b40e1b268ba0f6369cb41a8,ETH,15min,2026-07-21T20:45:00+00:00,300,299.9,0.925,Up,0.84,621.09,0.83,5056.52,16,,
2026-07-21T20:41:00+00:00,sol-updown-5m-1784666400,3005939,0x2c497d27c267512d3181b42c9fbd2f09f0314aad3605a5674e5215784a9de712,SOL,5min,2026-07-21T20:45:00+00:00,240,239.9,0.495,Down,0.54,44.95,0.53,20779.71,45,,
2026-07-21T20:42:00+00:00,eth-updown-5m-1784666400,3005944,0x5490b0497bab30ff52cb6d914112144b2d943ee5e6697acc5b5d3c8a1ecc71eb,ETH,5min,2026-07-21T20:45:00+00:00,180,179.9,0.495,Down,0.35,380.43,0.34,21387.95,65,,
2026-07-21T20:44:00+00:00,btc-updown-15m-1784665800,3005860,0x7cb953d8c020c68e5c21181cea4c167a85883f824e3adc3a166b267f03c9385e,BTC,15min,2026-07-21T20:45:00+00:00,60,59.9,0.895,Up,,0,0.99,0,0,,
2026-07-21T20:46:00+00:00,sol-updown-5m-1784666700,3005951,0xb904f59d06060a608addbc8188f340ed57069d6f48bf2377981e85888140f539,SOL,5min,2026-07-21T20:50:00+00:00,240,239.9,0.495,Down,0.53,129.42,0.51,20325.7,47,,
2026-07-21T20:47:00+00:00,eth-updown-5m-1784666700,3005958,0x74efd74f7654e5740f4725d3ca1539187b9a31ee91e6e16bc8d659dd5f9c69aa,ETH,5min,2026-07-21T20:50:00+00:00,180,179.9,0.495,Down,0.73,322.54,0.72,19399.18,27,,
2026-07-21T20:47:00+00:00,xrp-updown-15m-1784666700,3005956,0x84f4026c1447de380953f6e22ce3e3b5cbcfd9f0b85b70a7805e791804f46a49,XRP,15min,2026-07-21T21:00:00+00:00,780,779.7,0.455,Down,0.6,125.47,0.59,12202.2,30,,
2026-07-21T20:51:00+00:00,sol-updown-5m-1784667000,3005964,0x5b8c9738aaeb18dca171e8bf6650450985d83efbb8cc1e1e5d5f23c7f423f4c7,SOL,5min,2026-07-21T20:55:00+00:00,240,239.9,0.495,Down,0.55,120.92,0.54,20190.35,45,,
2026-07-21T20:52:00+00:00,eth-updown-5m-1784667000,3005968,0x30b8f324155a53cbd0cb7be3f6f026bd0767042832e1e110d69a6900aa891205,ETH,5min,2026-07-21T20:55:00+00:00,180,179.8,0.495,Down,0.61,613.81,0.6,15042.3,39,,
2026-07-21T20:52:00+00:00,sol-updown-15m-1784666700,3005952,0x9bb020c5ccfeab20eb0def6e354f3ab284efd645cbbddc51b847155e8e0c873e,SOL,15min,2026-07-21T21:00:00+00:00,480,479.7,0.29,Down,0.78,698.17,0.76,9603.0,22,,
2026-07-21T20:55:00+00:00,eth-updown-15m-1784666700,3005949,0x963f16e812044aa13d948185c61e2e18770d0622af3e1bb64ffa210aaae2d167,ETH,15min,2026-07-21T21:00:00+00:00,300,299.9,0.095,Down,0.95,3094.01,0.94,3094.01,5,,
2026-07-21T20:56:00+00:00,sol-updown-5m-1784667300,3006005,0x83b1b5d37e98e52a9e410182967c38e88535ebebca3605d6e8a603497621c98c,SOL,5min,2026-07-21T21:00:00+00:00,240,239.9,0.495,Down,0.41,60.73,0.4,18455.25,58,,
2026-07-21T20:57:00+00:00,eth-updown-5m-1784667300,3006006,0x01e27fd34d04690528b9430e2732e20e39d3ed251841b97745a7053df25d7d64,ETH,5min,2026-07-21T21:00:00+00:00,180,179.9,0.505,Up,0.6,448.5,0.59,22511.25,40,,
2026-07-21T20:59:00+00:00,btc-updown-15m-1784666700,3005948,0xd8ac66d586d6f10a8659ae664993b36199033fdfe9fd0b481475273a7d042247,BTC,15min,2026-07-21T21:00:00+00:00,60,59.9,0.105,Down,0.99,1037.15,0.98,1037.15,1,,
2026-07-21T21:01:00+00:00,sol-updown-5m-1784667600,3006011,0xdce437c3533a8b59ec411d2d0835676160eb8507fc2b085eccacbc7ea3be47f3,SOL,5min,2026-07-21T21:05:00+00:00,240,239.9,0.505,Up,0.15,21.06,0.14,17673.98,83,,
2026-07-21T21:02:00+00:00,eth-updown-5m-1784667600,3006019,0x5ad3f759bd01cac8426f79adc8973074be220937b49adf6973fe47282c2def73,ETH,5min,2026-07-21T21:05:00+00:00,180,179.8,0.495,Down,0.95,4044.72,0.94,4044.72,5,,
2026-07-21T21:02:00+00:00,xrp-updown-15m-1784667600,3006014,0x30d906a801263b2a59f49f0d73fece6c25b580f481f7edfcc05028f364ed83b6,XRP,15min,2026-07-21T21:15:00+00:00,780,779.7,0.515,Up,0.18,81.58,0.17,12164.31,43,,
2026-07-21T21:06:00+00:00,sol-updown-5m-1784667900,3006029,0x1774ac32fee5e9a9dcfcbe13c388cdda4c103d0620e6be7c77fa195380b8f472,SOL,5min,2026-07-21T21:10:00+00:00,240,239.9,0.505,Up,0.74,203.92,0.73,5944.68,26,,
2026-07-21T21:07:00+00:00,eth-updown-5m-1784667900,3006027,0xdcfea692e28262fdbb0820fb6aeb9f529356a4089c9612c446ad70498280e3d9,ETH,5min,2026-07-21T21:10:00+00:00,180,179.9,0.745,Up,0.92,2401.74,0.91,11489.73,8,,
2026-07-21T21:07:00+00:00,sol-updown-15m-1784667600,3006021,0x607fe8c2c422c42644159660abac3d2a58997adae86f71ce96badf9eae565de5,SOL,15min,2026-07-21T21:15:00+00:00,480,479.7,0.23,Down,0.47,200.45,0.46,8405.95,23,,
2026-07-21T21:10:00+00:00,eth-updown-15m-1784667600,3006012,0x22f8e890a7299fa8dc35d3b80be20953932167925557e7c567d4b3b11a1dbb4d,ETH,15min,2026-07-21T21:15:00+00:00,300,299.9,0.115,Down,0.75,307.01,0.74,11945.98,25,,
2026-07-21T21:11:00+00:00,sol-updown-5m-1784668200,3006030,0x116ec24622b0ad7d98185e382cac7071c4f213c66b41079e6f21bb8abe5582ea,SOL,5min,2026-07-21T21:15:00+00:00,240,239.8,0.505,Up,0.74,114.28,0.73,20016.4,26,,
2026-07-21T21:12:00+00:00,eth-updown-5m-1784668200,3006036,0x4b8c10d999a044e416799233b7e04baa267091872628ae34786757d6c5986a07,ETH,5min,2026-07-21T21:15:00+00:00,180,179.9,0.515,Up,0.22,141.78,0.21,21758.81,78,,
2026-07-21T21:14:00+00:00,btc-updown-15m-1784667600,3006018,0xf92a78cc74ceef5ef4b65fb0ffaa4090b708e962a5b45a7fd8cf5d6b07f26093,BTC,15min,2026-07-21T21:15:00+00:00,60,59.9,0.195,Down,0.65,730.37,0.64,9068.14,35,,
2026-07-21T21:16:00+00:00,sol-updown-5m-1784668500,3006039,0xc131d04e25aa28ac712b3ba2c93ada5edd224069dbcd64e18de06940f7f00fa5,SOL,5min,2026-07-21T21:20:00+00:00,240,239.9,0.495,Down,0.63,233.67,0.62,20644.4,37,,
2026-07-21T21:17:00+00:00,eth-updown-5m-1784668500,3006047,0x4d685ea9376014f3b9d406fc50b3db4f48b647e8f4e5a7d5dedc05a164054578,ETH,5min,2026-07-21T21:20:00+00:00,180,179.9,0.505,Up,0.26,227.37,0.25,22170.45,74,,
2026-07-21T21:17:00+00:00,xrp-updown-15m-1784668500,3006038,0x7128c7e94295ac4599d617eda03f50b8823b11fe369db69e4a8334403dcd71ce,XRP,15min,2026-07-21T21:30:00+00:00,780,779.8,0.415,Down,0.59,91.71,0.58,12151.75,30,,
2026-07-21T21:21:00+00:00,sol-updown-5m-1784668800,3006054,0x4e573d59f99aec66b6e93e3f4d3d1f1fa2513fc35a70c6ad1736b8b5bed51329,SOL,5min,2026-07-21T21:25:00+00:00,240,239.9,0.505,Up,0.63,36.52,0.62,19921.05,33,,
2026-07-21T21:22:00+00:00,eth-updown-5m-1784668800,3006051,0x6f023a6520644c65264bc6f6b42f63f2edcf5c3ad32f20666b7bb0b4ce5c2156,ETH,5min,2026-07-21T21:25:00+00:00,180,179.8,0.505,Up,0.88,814.45,0.87,17515.53,12,,
2026-07-21T21:22:00+00:00,sol-updown-15m-1784668500,3006044,0x2f44351182130d61b34ff9ffba4128b2d1eb9a075e0fe237278e5f24f57caa9a,SOL,15min,2026-07-21T21:30:00+00:00,480,479.7,0.46,Down,0.36,135.9,0.35,11539.57,64,,
2026-07-21T21:25:00+00:00,eth-updown-15m-1784668500,3006042,0xaa471ab90e1d47ddd1c8697aeece9b096634cf410fdcb3caa88aa27d16ea6a2e,ETH,15min,2026-07-21T21:30:00+00:00,300,299.9,0.565,Up,0.91,957.7,0.9,8258.63,9,,
2026-07-21T21:26:00+00:00,sol-updown-5m-1784669100,3006064,0x154592948c8589ba4055332ee1cdff7387c126c36442be52eb4213f602973371,SOL,5min,2026-07-21T21:30:00+00:00,240,239.8,0.49,Down,0.37,88.72,0.36,18511.86,63,,
2026-07-21T21:27:00+00:00,eth-updown-5m-1784669100,3006060,0xc6a5f36171c765908c1428c145979fead954662fb199c49e3d751acac46c8348,ETH,5min,2026-07-21T21:30:00+00:00,180,179.9,0.505,Up,0.23,246.47,0.22,22009.25,77,,
2026-07-21T21:29:00+00:00,btc-updown-15m-1784668500,3006049,0xd4c8cad2f349478080784fe2c2759cc3de095c4b3bbd1a1fbf31aea26746321f,BTC,15min,2026-07-21T21:30:00+00:00,60,59.9,0.095,Down,0.999,144.85,0.995,144.85,1,,
2026-07-21T21:31:00+00:00,sol-updown-5m-1784669400,3006073,0x98c9e75003054b660d72c6529fd0b3bc27de292d37a4efccbf29a9469970dcd0,SOL,5min,2026-07-21T21:35:00+00:00,240,239.9,0.505,Up,0.5,38.18,0.49,17319.87,47,,
2026-07-21T21:32:00+00:00,eth-updown-5m-1784669400,3006078,0x2a9df26fe7c03ce5a190022c7d05499b862af3d415a4853af34935d3b8300e89,ETH,5min,2026-07-21T21:35:00+00:00,180,179.9,0.505,Up,0.86,705.43,0.85,17769.12,14,,
2026-07-21T21:32:00+00:00,xrp-updown-15m-1784669400,3006067,0x7db2b3a6f75a8a48842f89387312ea9d08201dc81aec0f16438a8edbb564d853,XRP,15min,2026-07-21T21:45:00+00:00,780,779.8,0.52,Up,0.28,104.11,0.26,12092.88,40,,
2026-07-21T21:36:00+00:00,sol-updown-5m-1784669700,3006115,0x56aa4fb11550ba04a4ba07d22c4ecf28e16297f180d4ef7881b335a238df418c,SOL,5min,2026-07-21T21:40:00+00:00,240,239.9,0.625,Up,0.75,192.75,0.74,19100.98,25,,
2026-07-21T21:37:00+00:00,eth-updown-5m-1784669700,3006120,0xf51d12894d26d00b8a7f5d34ed0784fce674a0aad5c431295b3f3ca73d83cd78,ETH,5min,2026-07-21T21:40:00+00:00,180,179.8,0.495,Down,0.19,255.25,0.18,20678.28,81,,
2026-07-21T21:37:00+00:00,sol-updown-15m-1784669400,3006069,0x439f2cf297abc0ccac53b8899f5ccf7c229b821fa9b4db1011a979e56237f3be,SOL,15min,2026-07-21T21:45:00+00:00,480,479.7,0.595,Up,0.9,715.42,0.88,9727.07,10,,
2026-07-21T21:40:00+00:00,eth-updown-15m-1784669400,3006077,0xa6c44110d105fd5949777895923809eac71af814955e138ae69050536acafd34,ETH,15min,2026-07-21T21:45:00+00:00,300,299.9,0.875,Up,0.94,6836.88,0.93,6836.88,6,,
2026-07-21T21:41:00+00:00,sol-updown-5m-1784670000,3006134,0x93dcfe0b90c47005f2b340721622ed903b6ac12d15bed18fc65d306b96ae5a54,SOL,5min,2026-07-21T21:45:00+00:00,240,239.9,0.495,Down,0.4,107.53,0.39,17096.46,60,,
2026-07-21T21:42:00+00:00,eth-updown-5m-1784670000,3006138,0x2bd56fd97148585e9bdf60e2b55bd36a8e6600854f340a985e303e8a6adccf43,ETH,5min,2026-07-21T21:45:00+00:00,180,179.9,0.495,Down,0.52,206.74,0.51,21601.94,48,,
2026-07-21T21:44:00+00:00,btc-updown-15m-1784669400,3006074,0x161d4ecdd020b61c5a71e65a6dfa4cafda8b04dc6c99cec31cdb16fe12d07867,BTC,15min,2026-07-21T21:45:00+00:00,60,59.9,0.795,Up,0.97,2271.21,0.96,2271.21,3,,
2026-07-21T21:46:00+00:00,sol-updown-5m-1784670300,3006174,0x2b90a4b0181da9c4e6697aa890bc9599c17257ba059c18ae4481095bb6c7819f,SOL,5min,2026-07-21T21:50:00+00:00,240,239.9,0.495,Down,0.46,124.58,0.45,16891.22,54,,
2026-07-21T21:47:00+00:00,eth-updown-5m-1784670300,3006168,0xdfa27bad95307390eaac54fc3777b01cab7d162b3bc8a8bb9dbdd85b3ab5f0ef,ETH,5min,2026-07-21T21:50:00+00:00,180,179.8,0.495,Down,0.87,974.18,0.86,12483.91,13,,
2026-07-21T21:47:00+00:00,xrp-updown-15m-1784670300,3006165,0x54ff3ba1becd66a5d2f58a14a116269b0dd01a732dc71f2e4e75f265b219f32a,XRP,15min,2026-07-21T22:00:00+00:00,780,779.7,0.375,Down,0.73,235.71,0.72,12786.68,22,,
