ts_deteccion_utc,market_id,activo,ventana_min,direccion,lag_apertura_s,restante_s,py_ask_yes,profundidad_ratio,profundidad_ask
2026-08-21T06:55:02+00:00,3738354,BTC,5,BUY_YES,2.0,298.0,0.57,259.7,0.57
2026-08-21T06:55:29+00:00,3738358,SOL,5,BUY_YES,29.39,270.6,0.56,77.8,0.55
2026-08-21T07:00:37+00:00,3738400,BTC,5,BUY_YES,37.03,263.0,0.67,644.8,0.68
2026-08-21T07:00:51+00:00,3738404,SOL,5,BUY_YES,50.98,249.0,0.57,125.2,0.57
2026-08-21T07:05:03+00:00,3738420,BTC,5,BUY_NO,2.47,297.5,0.42,42.9,0.6
2026-08-21T07:06:43+00:00,3738420,BTC,5,BUY_YES,103.23,196.8,0.58,362.1,0.58
2026-08-21T07:07:07+00:00,3738416,SOL,5,BUY_YES,127.66,172.3,0.55,121.8,0.55
2026-08-21T07:10:08+00:00,3738425,SOL,5,BUY_YES,8.88,291.1,0.57,82.9,0.57
2026-08-21T07:10:08+00:00,3738424,BTC,5,BUY_YES,8.82,291.2,0.57,541.1,0.57
2026-08-21T07:15:02+00:00,3738521,BTC,5,BUY_YES,2.0,298.0,0.7,1028.5,0.71
2026-08-21T07:15:02+00:00,3738515,SOL,5,BUY_YES,2.01,298.0,0.71,73.5,0.73
2026-08-21T07:20:19+00:00,3738524,BTC,5,BUY_NO,19.85,280.1,0.44,0.0,0.6
2026-08-21T07:25:07+00:00,3738585,BTC,5,BUY_NO,2.2,297.8,0.45,600.8,0.54
2026-08-21T07:26:33+00:00,3738585,BTC,5,BUY_YES,90.25,209.8,0.61,1485.7,0.61
2026-08-21T07:30:22+00:00,3738630,BTC,5,BUY_NO,22.45,277.5,0.45,440.3,0.56
2026-08-21T07:30:36+00:00,3738630,BTC,5,BUY_YES,36.34,263.7,0.59,485.9,0.59
2026-08-21T07:32:17+00:00,3738636,BTC,15,BUY_NO,137.26,762.7,0.43,197.4,0.58
2026-08-21T07:33:09+00:00,3738628,SOL,5,BUY_YES,189.01,111.0,0.64,770.3,0.48
2026-08-21T07:35:03+00:00,3738712,BTC,5,BUY_YES,3.12,296.9,0.59,714.0,0.59
2026-08-21T07:35:12+00:00,3738709,SOL,5,BUY_YES,12.06,287.9,0.55,136.5,0.55
2026-08-21T07:37:28+00:00,3738712,BTC,5,BUY_NO,148.13,151.9,0.43,381.9,0.58
2026-08-21T07:40:02+00:00,3738745,SOL,5,BUY_YES,2.14,297.9,0.7,9.2,0.7
2026-08-21T07:40:02+00:00,3738740,BTC,5,BUY_YES,2.01,298.0,0.64,651.1,0.64
2026-08-21T07:40:15+00:00,3738740,BTC,5,BUY_NO,15.35,284.7,0.45,267.9,0.56
2026-08-21T07:45:03+00:00,3738755,BTC,5,BUY_NO,2.39,297.6,0.41,3349.7,0.47
2026-08-21T07:45:03+00:00,3738751,BTC,15,BUY_NO,2.4,897.6,0.45,1361.1,0.53
2026-08-21T07:45:11+00:00,3738757,SOL,5,BUY_YES,6.61,293.4,0.58,135.4,0.58
2026-08-21T07:50:31+00:00,3738765,BTC,5,BUY_YES,31.08,268.9,0.59,292.3,0.59
2026-08-21T07:50:32+00:00,3738762,SOL,5,BUY_YES,32.35,267.7,0.56,169.5,0.55
2026-08-21T07:50:50+00:00,3738765,BTC,5,BUY_NO,49.96,250.0,0.45,78.6,0.56
2026-08-21T07:55:16+00:00,3738779,SOL,5,BUY_YES,13.79,286.2,0.61,91.5,0.61
2026-08-21T07:55:16+00:00,3738781,BTC,5,BUY_YES,13.52,286.5,0.64,1452.3,0.64
2026-08-21T07:58:29+00:00,3738781,BTC,5,BUY_NO,209.15,90.9,0.29,0.0,0.77
2026-08-21T08:00:02+00:00,3738802,SOL,5,BUY_YES,2.08,297.9,0.7,250.5,0.67
2026-08-21T08:00:03+00:00,3738787,BTC,5,BUY_YES,2.03,298.0,0.72,3919.0,0.57
2026-08-21T08:05:02+00:00,3738857,BTC,5,BUY_NO,2.1,297.9,0.42,57.2,0.6
2026-08-21T08:07:15+00:00,3738861,SOL,5,BUY_YES,135.15,164.8,0.55,2.8,0.55
2026-08-21T08:07:20+00:00,3738857,BTC,5,BUY_YES,140.65,159.3,0.55,102.9,0.55
2026-08-21T08:10:02+00:00,3739016,SOL,5,BUY_YES,2.1,297.9,0.58,0.0,0.61
2026-08-21T08:10:08+00:00,3739015,BTC,5,BUY_NO,8.05,292.0,0.34,483.2,0.67
