fecha,address,categoria,pnl_dia,n_cierres
2026-09-16,0xFAd25C3098FCb4F2Ad68039204A4011261824ce6,memecoins,1074.9267,74
2026-09-16,0xD111a21BCc7dF8bB78497B06C7A2c114C3a9eBdC,otros,142.2349,156
2026-09-16,0xFAd25C3098FCb4F2Ad68039204A4011261824ce6,otros,-2384.4788,319
2026-09-16,0x4A2479F81FC411ade23a50e2425786C248346936,metales_petroleo,182.0567,3
2026-09-16,0xFAd25C3098FCb4F2Ad68039204A4011261824ce6,metales_petroleo,103.2759,200
2026-09-16,0x8448d8263B6131d1a8eBE93EAC553804f60300Ec,metales_petroleo,-202.7605,2
2026-09-16,0xC914238Dde217bc37F768B9eE5F8FBF973aeD746,metales_petroleo,62.8785,4
2026-09-16,0xa5dD645f2367C990e7d993E46F28870Bd5812E4f,otros,-12062.7445,29
2026-09-17,0x4c4f4d655B77c4d1cB4343AF6c54c2Ec8f4022b4,otros,119.3676,174
2026-09-17,0x0034DC43DeACf5060035Db189A094568Dad45b7F,otros,5679.4621,1884
2026-09-17,0x8448d8263B6131d1a8eBE93EAC553804f60300Ec,otros,870.3037,119
2026-09-17,0xfc1B24B1749F71b797029C34F5fa30D528539107,otros,-2085.7462,301
2026-09-17,0x2070F45C22E44a52CB42210d1112a0Bfb6A9A0c7,otros,-422.513,310
2026-09-17,0xB91a9C277b0d26A5ea763994152CB35AB725360E,otros,97.2749,151
2026-09-17,0xC914238Dde217bc37F768B9eE5F8FBF973aeD746,otros,170.5536,143
2026-09-17,0xB6287efe7A7702402dd8342963DBEfE51e44F2EB,otros,-3398.039,281
2026-09-17,0x4A2479F81FC411ade23a50e2425786C248346936,otros,-349.9636,20
2026-09-17,0xFAd25C3098FCb4F2Ad68039204A4011261824ce6,otros,814.2863,122
2026-09-17,0xD111a21BCc7dF8bB78497B06C7A2c114C3a9eBdC,otros,-138.1844,105
2026-09-17,0x0034DC43DeACf5060035Db189A094568Dad45b7F,metales_petroleo,778.0961,69
2026-09-17,0xa5dD645f2367C990e7d993E46F28870Bd5812E4f,metales_petroleo,255.0989,18
2026-09-17,0xFAd25C3098FCb4F2Ad68039204A4011261824ce6,metales_petroleo,-1357.0546,122
2026-09-17,0x4c4f4d655B77c4d1cB4343AF6c54c2Ec8f4022b4,metales_petroleo,-41.636,84
2026-09-17,0xa5dD645f2367C990e7d993E46F28870Bd5812E4f,otros,-94.3375,1
2026-09-17,0xfc1B24B1749F71b797029C34F5fa30D528539107,metales_petroleo,202.4911,151
2026-09-17,0x4A2479F81FC411ade23a50e2425786C248346936,metales_petroleo,145.5359,3
2026-09-17,0x7930Ee98013FA1aEaC08872A88E677dc925aD132,otros,39.4865,16
2026-09-18,0x4c4f4d655B77c4d1cB4343AF6c54c2Ec8f4022b4,otros,2491.7145,782
2026-09-18,0x0034DC43DeACf5060035Db189A094568Dad45b7F,otros,9892.4099,2379
2026-09-18,0x0034DC43DeACf5060035Db189A094568Dad45b7F,metales_petroleo,-10.9773,4
2026-09-18,0x8448d8263B6131d1a8eBE93EAC553804f60300Ec,otros,1448.1419,300
2026-09-18,0xfc1B24B1749F71b797029C34F5fa30D528539107,otros,-26830.0583,365
2026-09-18,0x2070F45C22E44a52CB42210d1112a0Bfb6A9A0c7,otros,-1496.0329,490
2026-09-18,0xC914238Dde217bc37F768B9eE5F8FBF973aeD746,otros,18.9932,76
2026-09-18,0xB6287efe7A7702402dd8342963DBEfE51e44F2EB,otros,-5835.2018,545
2026-09-18,0x0034DC43DeACf5060035Db189A094568Dad45b7F,memecoins,2922.0283,269
2026-09-18,0xa5dD645f2367C990e7d993E46F28870Bd5812E4f,metales_petroleo,130.5235,2
2026-09-18,0xC914238Dde217bc37F768B9eE5F8FBF973aeD746,memecoins,53.8627,82
2026-09-18,0xD111a21BCc7dF8bB78497B06C7A2c114C3a9eBdC,otros,-141.2129,163
2026-09-18,0x8448d8263B6131d1a8eBE93EAC553804f60300Ec,metales_petroleo,40.8379,1
2026-09-18,0xB91a9C277b0d26A5ea763994152CB35AB725360E,otros,661.4615,266
2026-09-18,0x4A2479F81FC411ade23a50e2425786C248346936,metales_petroleo,-136.965,2
2026-09-18,0x4A2479F81FC411ade23a50e2425786C248346936,otros,1206.2387,64
2026-09-18,0xa5dD645f2367C990e7d993E46F28870Bd5812E4f,otros,-7422.4109,124
2026-09-18,0x059E90484026c6BB3d4cc6dEe64DB2CCF29D891f,otros,150.7982,106
2026-09-18,0x7930Ee98013FA1aEaC08872A88E677dc925aD132,otros,452.1126,26
2026-09-19,0x4c4f4d655B77c4d1cB4343AF6c54c2Ec8f4022b4,otros,1053.5163,301
2026-09-19,0x8448d8263B6131d1a8eBE93EAC553804f60300Ec,otros,-1066.2551,144
2026-09-19,0x0034DC43DeACf5060035Db189A094568Dad45b7F,otros,606.1214,1960
2026-09-19,0xfc1B24B1749F71b797029C34F5fa30D528539107,otros,-2105.1894,99
2026-09-19,0x2070F45C22E44a52CB42210d1112a0Bfb6A9A0c7,otros,379.1016,172
2026-09-19,0xC914238Dde217bc37F768B9eE5F8FBF973aeD746,otros,15177.642,370
2026-09-19,0x4A2479F81FC411ade23a50e2425786C248346936,otros,-67.8072,13
2026-09-19,0x059E90484026c6BB3d4cc6dEe64DB2CCF29D891f,otros,56.6793,143
2026-09-19,0xa5dD645f2367C990e7d993E46F28870Bd5812E4f,otros,585.101,3
2026-09-19,0x9c6c85323Ae3E695bA36D17c86f3ec2242cF712A,otros,7636.6509,32
2026-09-19,0x0034DC43DeACf5060035Db189A094568Dad45b7F,memecoins,170.5085,334
2026-09-19,0x7930Ee98013FA1aEaC08872A88E677dc925aD132,otros,345.2568,31
2026-09-19,0x33b63A54A4183C8BdE1C324069fF4e3CA03E95CD,otros,5642.8723,111
2026-09-19,0xC914238Dde217bc37F768B9eE5F8FBF973aeD746,memecoins,-0.2994,5
2026-09-19,0x4c4f4d655B77c4d1cB4343AF6c54c2Ec8f4022b4,memecoins,1847.0002,12
2026-09-19,0xB91a9C277b0d26A5ea763994152CB35AB725360E,memecoins,294.1608,38
2026-09-19,0xD111a21BCc7dF8bB78497B06C7A2c114C3a9eBdC,memecoins,-170.0699,36
2026-09-20,0x4c4f4d655B77c4d1cB4343AF6c54c2Ec8f4022b4,otros,769.9807,309
2026-09-20,0x7930Ee98013FA1aEaC08872A88E677dc925aD132,otros,-978.2775,63
2026-09-20,0x8448d8263B6131d1a8eBE93EAC553804f60300Ec,otros,-1601.8817,319
2026-09-20,0x0034DC43DeACf5060035Db189A094568Dad45b7F,otros,-2513.4056,4107
2026-09-20,0x33b63A54A4183C8BdE1C324069fF4e3CA03E95CD,otros,-689.2165,207
2026-09-20,0x059E90484026c6BB3d4cc6dEe64DB2CCF29D891f,otros,115.1445,273
2026-09-20,0x2070F45C22E44a52CB42210d1112a0Bfb6A9A0c7,otros,185.6735,166
2026-09-20,0x0034DC43DeACf5060035Db189A094568Dad45b7F,memecoins,2265.2475,363
2026-09-20,0xC914238Dde217bc37F768B9eE5F8FBF973aeD746,otros,916.0627,178
2026-09-20,0xC914238Dde217bc37F768B9eE5F8FBF973aeD746,memecoins,-18.9432,8
2026-09-20,0xD111a21BCc7dF8bB78497B06C7A2c114C3a9eBdC,memecoins,-1158.5039,13
2026-09-20,0x4c4f4d655B77c4d1cB4343AF6c54c2Ec8f4022b4,memecoins,-1739.1032,4
2026-09-20,0x4c4f4d655B77c4d1cB4343AF6c54c2Ec8f4022b4,metales_petroleo,394.6507,164
2026-09-20,0x8448d8263B6131d1a8eBE93EAC553804f60300Ec,metales_petroleo,151.0173,1
2026-09-20,0xa5dD645f2367C990e7d993E46F28870Bd5812E4f,metales_petroleo,-313.9652,70
2026-09-20,0xfc1B24B1749F71b797029C34F5fa30D528539107,metales_petroleo,-1580.9935,348
2026-09-20,0xfc1B24B1749F71b797029C34F5fa30D528539107,otros,-2093.1544,89
2026-09-20,0x0034DC43DeACf5060035Db189A094568Dad45b7F,metales_petroleo,-0.7704,17
2026-09-20,0xB91a9C277b0d26A5ea763994152CB35AB725360E,memecoins,-1121.5912,15
2026-09-20,0x4A2479F81FC411ade23a50e2425786C248346936,metales_petroleo,154.2911,4
2026-09-20,0x44a3E929C68Fe1441583549f64abC72E278E6E49,otros,2730.0673,3
2026-09-20,0xB6287efe7A7702402dd8342963DBEfE51e44F2EB,memecoins,1209.7536,32
2026-09-20,0xB6287efe7A7702402dd8342963DBEfE51e44F2EB,otros,527.9552,139
2026-09-20,0xa590a393CC3e1776a47f32fD99ef5fc7c464a243,otros,0.9892,1
2026-09-21,0x4c4f4d655B77c4d1cB4343AF6c54c2Ec8f4022b4,metales_petroleo,-810.279,32
2026-09-21,0x4c4f4d655B77c4d1cB4343AF6c54c2Ec8f4022b4,otros,376.6547,347
2026-09-21,0x8448d8263B6131d1a8eBE93EAC553804f60300Ec,otros,-1697.2783,331
