timestamp_utc,slug,market_id,condition_id,activo,ventana_min,end_date,restante_s,strike,strike_src,spot,spot_src,dist_pct,lado_rezagado,best_ask,ask_usd_le2c,ask_usd_le3c,ask_usd_le5c,best_bid,py_yes_evento,outcome_real,rezagado_gano
2026-08-30T00:39:50+00:00,doge-updown-5m-1788050100,3963891,0x861f6ca2ef25d122466b231901382d02becef6c20953ddcd94872e338343c4d8,DOGE,5,2026-08-30T00:40:00+00:00,9.6,0.08518,kline_open,0.08527,binance_ticker,0.10566,Down,0.001,14.41,14.41,15.7,,0.97,Up,0
2026-08-30T00:39:50+00:00,bnb-updown-5m-1788050100,3963894,0x74322a87f28a2b9155c6189089709979b7678ee471a94332a973b36aead2cac0,BNB,5,2026-08-30T00:40:00+00:00,9.5,692.61,kline_open,693.01,binance_ticker,0.05775,Down,0.001,17.0,17.15,17.85,,0.975,Up,0
2026-08-30T00:44:49+00:00,btc-updown-5m-1788050400,3964128,0x8faa13c269a26ad15668d7975295937340b76e8307e31342054d203fd63ece88,BTC,5,2026-08-30T00:45:00+00:00,10.9,78238.01,kline_open,78209.29,binance_ticker,-0.03671,Up,0.01,166.39,172.7,180.59,,0.005,Down,0
2026-08-30T00:44:49+00:00,eth-updown-5m-1788050400,3964131,0x58629a9ca6153ee38dd38eee8d0e6bff24eef3161ff6ef6ad864a66bef6118b6,ETH,5,2026-08-30T00:45:00+00:00,10.5,2462.22,kline_open,2461.19,binance_ticker,-0.04183,Up,0.01,66.5,71.07,80.02,,0.75,Down,0
2026-08-30T00:44:49+00:00,sol-updown-5m-1788050400,3964124,0x71f783cb222b395cef75cf057d2ce6dfecdd9126414451fa9c16d2c00dcc12bd,SOL,5,2026-08-30T00:45:00+00:00,10.9,105.36,kline_open,105.3,binance_ticker,-0.05695,Up,0.01,43.24,44.59,52.26,,0.025,Down,0
2026-08-30T00:44:49+00:00,xrp-updown-5m-1788050400,3964129,0xf9db6fb3b6bc9dde4cf6254610e3115f44cd119621b4355ca5981e80d8f9c191,XRP,5,2026-08-30T00:45:00+00:00,10.7,1.3959,kline_open,1.3958,binance_ticker,-0.00716,Up,0.07,0,0,0,0.02,0.61,Down,0
2026-08-30T00:44:49+00:00,doge-updown-5m-1788050400,3964125,0x629d56e65e1366e9b0062204f648541a5236d46f2b485f913cb450ebfa7bf536,DOGE,5,2026-08-30T00:45:00+00:00,10.7,0.08526,kline_open,0.08527,binance_ticker,0.01173,Down,0.99,0,0,0,0.98,0.065,Down,1
2026-08-30T00:44:49+00:00,bnb-updown-5m-1788050400,3964126,0xc61940526caec6a4d58611d279e36204b8cef6cabf2557f6ad0a5a412d8fea25,BNB,5,2026-08-30T00:45:00+00:00,10.7,693.01,kline_open,692.78,binance_ticker,-0.03319,Up,0.01,15.31,16.06,18.81,,0.545,Down,0
2026-08-30T00:44:49+00:00,btc-updown-15m-1788049800,3963834,0xb81df2e50180ae37135a9d974ac436d5360c1aa52068340eebd7443f1aa2bede,BTC,15,2026-08-30T00:45:00+00:00,10.6,78216.52,kline_open,78209.29,binance_ticker,-0.00924,Up,0.01,30.05,30.2,30.65,,0.715,Down,0
2026-08-30T00:44:49+00:00,eth-updown-15m-1788049800,3963832,0x9aee79a6726922e0ced5e3bd76b1929c34d36afc2a26500906030bbc68dcb09c,ETH,15,2026-08-30T00:45:00+00:00,10.8,2462.64,kline_open,2461.19,binance_ticker,-0.05888,Up,0.01,43.65,46.5,53.62,,0.015,Down,0
2026-08-30T00:44:49+00:00,sol-updown-15m-1788049800,3963840,0x6990ce2510f4f16b047aa40fb87abd59fd8cc5d93e6f787bb94c5dfa962b0786,SOL,15,2026-08-30T00:45:00+00:00,10.7,105.35,kline_open,105.3,binance_ticker,-0.04746,Up,0.01,27.76,29.41,36.06,,0.605,Down,0
2026-08-30T00:44:49+00:00,xrp-updown-15m-1788049800,3963839,0x5b9c631799dcc47c95e252fab4e14acd4350246a1c49d372a91cb75ad94d9c2e,XRP,15,2026-08-30T00:45:00+00:00,10.5,1.3954,kline_open,1.3958,binance_ticker,0.02867,Down,0.01,10.68,11.58,11.58,,0.67,Up,0
2026-08-30T00:44:49+00:00,doge-updown-15m-1788049800,3963836,0x6c637b0596ad1b0d7ae46765de7e081b6e24c708bfbb51358f195275fb52bdf2,DOGE,15,2026-08-30T00:45:00+00:00,10.6,0.08523,kline_open,0.08527,binance_ticker,0.04693,Down,0.01,6.53,6.53,6.78,,0.895,Up,0
2026-08-30T00:44:49+00:00,bnb-updown-15m-1788049800,3963837,0xc6b02d20cc475ad17fa1dacd69d9da2cfe8accd226024c6eee7ed7cb78ab23ae,BNB,15,2026-08-30T00:45:00+00:00,10.7,692.49,kline_open,692.78,binance_ticker,0.04188,Down,0.01,15.71,15.71,16.21,,0.975,Up,0
