timestamp_utc,window,rank,account,pnl,notional,account_value
2026-09-18T00:00:02+00:00,all,3,0x0034DC43DeACf5060035Db189A094568Dad45b7F,174296.502626747,1901776021.407035,5355830.3072477979746672863895
2026-09-18T00:00:02+00:00,all,4,0x8448d8263B6131d1a8eBE93EAC553804f60300Ec,150984.44384270327,508597856.05072504,1219426.2293792855656743146296
2026-09-18T00:00:02+00:00,all,5,0xa5dD645f2367C990e7d993E46F28870Bd5812E4f,145337.1987593378,111218758.16137402,1654954.1874723253919770203295
2026-09-18T00:00:02+00:00,all,6,0xfc1B24B1749F71b797029C34F5fa30D528539107,116492.1525521035,71694560.58217497,1226843.8213829462829931890650
2026-09-18T00:00:02+00:00,all,7,0x2070F45C22E44a52CB42210d1112a0Bfb6A9A0c7,89130.03632358143,1228913328.3555732,2236775.7453808823711124870760
2026-09-18T00:00:02+00:00,all,8,0x9c6c85323Ae3E695bA36D17c86f3ec2242cF712A,54616.04013355343,2510677.2251089993,55983.489187818946076850007397
2026-09-18T00:00:02+00:00,all,9,0xB91a9C277b0d26A5ea763994152CB35AB725360E,45494.52730761633,128305856.57103808,2127901.5045198370772255671423
2026-09-18T00:00:02+00:00,all,10,0x6a407b7C2dCCd7Fdf56ff2fBc71e42931DAd799E,37710.30616097216,255556.4042,0.000000972163311999999997
2026-09-18T00:00:02+00:00,all,11,0xC914238Dde217bc37F768B9eE5F8FBF973aeD746,37211.5927009144,8758072.857449004,84851.44427108315957100733249
2026-09-18T00:00:02+00:00,all,12,0xB6287efe7A7702402dd8342963DBEfE51e44F2EB,24179.450632564993,53095031.28748099,722861.30541711997020243580329
2026-09-18T00:00:02+00:00,all,13,0x630402abaC9241Ccf86000cA2af779b746f4D60E,22015.059272962528,792932.173622,0.000000962524268000000000
2026-09-18T00:00:02+00:00,all,14,0xE17B275d75CB97bD4f5Cb7542d91cDA23A95CF15,21332.230847314757,321679.632108,0.000000269130051999999998
2026-09-18T00:00:02+00:00,all,15,0xAFF24720C36CDD4f8a409Bc4A88933DAC107A457,21050.633020510137,10108141.988987999,9.137194441492286189378041207
2026-09-18T00:00:02+00:00,all,16,0x4A2479F81FC411ade23a50e2425786C248346936,19370.867034607963,20640758.696887013,864249.9238367686448644999998
2026-09-18T00:00:02+00:00,all,17,0x5B61EB45bD64D4904e76F69A9f165D7415606926,17929.98960946691,24791132.281128,178125.13190971541484532952702
2026-09-18T00:00:02+00:00,all,18,0x175909f4403C5C20B7bdF0b4d742BfF3a37A6a84,15615.026004639365,24650693.702551994,0.000000672434743904066937
2026-09-18T00:00:02+00:00,all,19,0xa590a393CC3e1776a47f32fD99ef5fc7c464a243,14827.776179480124,358924.66292499995,2521.5130804801245199999998161
