ts_entrada,activo,nesting,combo,coste,n_shares,coste_total_usd,ask_leg1,ask_leg2,gap_opens_pct,depth_usd,min_orden_ok,end_utc,inner_slug,outer_slug,status,ts_cierre,gano_leg1,gano_leg2,payout_por_share,pnl_usd,garantia_ok,pasa_filtro,persistio_ciclo_anterior
2026-07-10T20:25:11+00:00,ETH,5min15m,YESout+NOin,0.83,12.05,10.0015,0.32,0.51,0.1453,61.7,1,2026-07-10T20:30:00+00:00,eth-updown-5m-1783715100,eth-updown-15m-1783714500,OPEN,,,,,,,0,0
2026-07-10T20:48:12+00:00,SOL,15min60m,YESout+NOin,0.91,10.99,10.0009,0.33,0.58,0.0,30.72,1,2026-07-10T21:00:00+00:00,sol-updown-15m-1783716300,solana-up-or-down-july-10-2026-4pm-et,CLOSED,2026-07-10T21:03:01+00:00,0,1,1,0.9891,1,1,1
2026-07-10T21:25:14+00:00,BTC,5min15m,NOout+YESin,0.49,20.41,10.0009,0.16,0.33,-0.0244,60.42,1,2026-07-10T21:30:00+00:00,btc-updown-5m-1783718700,btc-updown-15m-1783718100,OPEN,,,,,,,1,0
2026-07-10T21:25:14+00:00,ETH,5min15m,NOout+YESin,0.65,15.38,9.997,0.35,0.3,-0.0508,36.13,1,2026-07-10T21:30:00+00:00,eth-updown-5m-1783718700,eth-updown-15m-1783718100,OPEN,,,,,,,0,0
2026-07-10T21:27:12+00:00,SOL,5min15m,NOout+YESin,0.77,12.99,10.0023,0.11,0.66,-0.0128,13.2,1,2026-07-10T21:30:00+00:00,sol-updown-5m-1783718700,sol-updown-15m-1783718100,OPEN,,,,,,,0,1
2026-07-10T21:40:13+00:00,SOL,5min15m,NOout+YESin,0.63,15.87,9.9981,0.18,0.45,-0.0384,14.56,1,2026-07-10T21:45:00+00:00,sol-updown-5m-1783719600,sol-updown-15m-1783719000,OPEN,,,,,,,0,0
2026-07-10T21:55:13+00:00,BTC,5min15m,YESout+NOin,0.77,12.99,10.0023,0.26,0.51,0.0199,140.06,1,2026-07-10T22:00:00+00:00,btc-updown-5m-1783720500,btc-updown-15m-1783719900,OPEN,,,,,,,1,0
2026-07-10T22:10:14+00:00,BTC,5min15m,NOout+YESin,0.85,11.76,9.996,0.27,0.58,-0.0493,21.88,1,2026-07-10T22:15:00+00:00,btc-updown-5m-1783721400,btc-updown-15m-1783720800,OPEN,,,,,,,0,0
2026-07-10T22:25:15+00:00,BTC,5min15m,NOout+YESin,0.86,11.63,10.0018,0.41,0.45,-0.0282,210.54,1,2026-07-10T22:30:00+00:00,btc-updown-5m-1783722300,btc-updown-15m-1783721700,CLOSED,2026-07-10T22:32:02+00:00,0,1,1,1.6282,1,1,0
2026-07-10T22:41:14+00:00,BTC,5min15m,YESout+NOin,0.91,10.99,10.0009,0.43,0.48,0.0722,67.72,1,2026-07-10T22:45:00+00:00,btc-updown-5m-1783723200,btc-updown-15m-1783722600,CLOSED,2026-07-10T22:47:01+00:00,0,0,0,-10.0009,0,0,1
2026-07-10T22:43:10+00:00,ETH,5min15m,YESout+NOin,0.8,12.5,10.0,0.6,0.2,0.027,24.0,1,2026-07-10T22:45:00+00:00,eth-updown-5m-1783723200,eth-updown-15m-1783722600,CLOSED,2026-07-10T22:47:01+00:00,0,1,1,2.5,1,1,1
2026-07-10T22:46:15+00:00,XRP,15min60m,YESout+NOin,0.96,10.42,10.0032,0.53,0.43,0.0181,11.07,1,2026-07-10T23:00:00+00:00,xrp-updown-15m-1783723500,xrp-up-or-down-july-10-2026-6pm-et,OPEN,,,,,,,0,1
2026-07-10T22:55:14+00:00,BTC,5min15m,NOout+YESin,0.93,10.75,9.9975,0.33,0.6,-0.0546,18.77,1,2026-07-10T23:00:00+00:00,btc-updown-5m-1783724100,btc-updown-15m-1783723500,OPEN,,,,,,,0,0
2026-07-10T22:59:26+00:00,SOL,5min15m,NOout+YESin,0.42,23.81,10.0002,0.01,0.41,-0.064,11.25,0,2026-07-10T23:00:00+00:00,sol-updown-5m-1783724100,sol-updown-15m-1783723500,OPEN,,,,,,,0,1
2026-07-10T23:25:11+00:00,SOL,5min15m,NOout+YESin,0.65,15.38,9.997,0.16,0.49,-0.0256,10.68,1,2026-07-10T23:30:00+00:00,sol-updown-5m-1783725900,sol-updown-15m-1783725300,OPEN,,,,,,,0,0
2026-07-10T23:57:14+00:00,SOL,5min15m,YESout+NOin,0.97,10.31,10.0007,0.57,0.4,0.0,14.25,1,2026-07-11T00:00:00+00:00,sol-updown-5m-1783727700,sol-updown-15m-1783727100,OPEN,,,,,,,0,1
2026-07-11T00:25:11+00:00,BTC,5min15m,NOout+YESin,0.75,13.33,9.9975,0.23,0.52,-0.0143,20.33,1,2026-07-11T00:30:00+00:00,btc-updown-5m-1783729500,btc-updown-15m-1783728900,OPEN,,,,,,,1,0
2026-07-11T00:49:10+00:00,XRP,15min60m,NOout+YESin,0.88,11.36,9.9968,0.65,0.23,-0.4074,10.42,1,2026-07-11T01:00:00+00:00,xrp-updown-15m-1783730700,xrp-up-or-down-july-10-2026-8pm-et,CLOSED,2026-07-11T01:03:02+00:00,0,1,1,1.3632,1,0,1
2026-07-11T00:55:12+00:00,BTC,5min15m,YESout+NOin,0.81,12.35,10.0035,0.26,0.55,0.0003,54.38,1,2026-07-11T01:00:00+00:00,btc-updown-5m-1783731300,btc-updown-15m-1783730700,OPEN,,,,,,,1,0
2026-07-11T01:10:10+00:00,BTC,5min15m,NOout+YESin,0.88,11.36,9.9968,0.24,0.64,-0.0378,26.94,1,2026-07-11T01:15:00+00:00,btc-updown-5m-1783732200,btc-updown-15m-1783731600,OPEN,,,,,,,1,0
2026-07-11T01:12:11+00:00,ETH,5min15m,NOout+YESin,0.99,10.1,9.999,0.31,0.68,-0.0114,19.96,1,2026-07-11T01:15:00+00:00,eth-updown-5m-1783732200,eth-updown-15m-1783731600,OPEN,,,,,,,1,1
2026-07-11T01:13:48+00:00,XRP,5min15m,NOout+YESin,0.83,12.05,10.0015,0.2,0.63,-0.4615,13.29,1,2026-07-11T01:15:00+00:00,xrp-updown-5m-1783732200,xrp-updown-15m-1783731600,OPEN,,,,,,,0,1
2026-07-11T01:55:11+00:00,BTC,5min15m,NOout+YESin,0.71,14.08,9.9968,0.19,0.52,-0.005,46.33,1,2026-07-11T02:00:00+00:00,btc-updown-5m-1783734900,btc-updown-15m-1783734300,OPEN,,,,,,,1,0
2026-07-11T02:25:11+00:00,ETH,5min15m,NOout+YESin,0.83,12.05,10.0015,0.32,0.51,-0.0006,17.28,1,2026-07-11T02:30:00+00:00,eth-updown-5m-1783736700,eth-updown-15m-1783736100,CLOSED,2026-07-11T02:32:01+00:00,0,1,1,2.0485,1,1,0
2026-07-11T02:26:17+00:00,BTC,5min15m,NOout+YESin,0.97,10.31,10.0007,0.51,0.46,-0.03,36.88,1,2026-07-11T02:30:00+00:00,btc-updown-5m-1783736700,btc-updown-15m-1783736100,OPEN,,,,,,,1,0
2026-07-11T02:29:14+00:00,XRP,5min15m,NOout+YESin,0.99,10.1,9.999,0.01,0.98,-0.3849,11.05,0,2026-07-11T02:30:00+00:00,xrp-updown-5m-1783736700,xrp-updown-15m-1783736100,OPEN,,,,,,,0,1
2026-07-11T02:55:16+00:00,BTC,5min15m,YESout+NOin,0.92,10.87,10.0004,0.4,0.52,0.0336,117.14,1,2026-07-11T03:00:00+00:00,btc-updown-5m-1783738500,btc-updown-15m-1783737900,OPEN,,,,,,,1,0
