timestamp_utc,ts_end,dry_run,activo,direccion_implicita,ask_implicita,gate_confirmado,gate_motivo,ratio_vs_stake,vwap_fill_estimado,t_lectura_ms,t_firma_ms,t_total_ms,disparado,order_ok,order_error
2026-09-05T19:04:58+00:00,1788635100,True,XRP,Down,,False,sin_ask,,,78.2,,,,,
2026-09-05T19:04:58+00:00,1788635100,True,DOGE,Down,,False,sin_ask,,,67.2,,,,,
2026-09-05T19:04:58+00:00,1788635100,True,BNB,Down,,False,sin_ask,,,60.0,,,,,
2026-09-05T19:09:58+00:00,1788635400,True,BTC,Up,,False,sin_ask,,,233.6,,,,,
2026-09-05T19:09:58+00:00,1788635400,True,ETH,Up,,False,sin_ask,,,64.4,,,,,
2026-09-05T19:09:58+00:00,1788635400,True,SOL,Up,,False,sin_ask,,,61.4,,,,,
2026-09-05T19:09:58+00:00,1788635400,True,XRP,Up,,False,sin_ask,,,66.9,,,,,
2026-09-05T19:09:58+00:00,1788635400,True,DOGE,Up,,False,sin_ask,,,71.0,,,,,
2026-09-05T19:09:58+00:00,1788635400,True,BNB,Down,,False,sin_ask,,,65.9,,,,,
2026-09-05T19:14:58+00:00,1788635700,True,BTC,Down,,False,sin_ask,,,79.6,,,,,
2026-09-05T19:14:58+00:00,1788635700,True,ETH,Down,,False,sin_ask,,,65.1,,,,,
2026-09-05T19:14:58+00:00,1788635700,True,SOL,Up,,False,sin_ask,,,62.3,,,,,
2026-09-05T19:14:58+00:00,1788635700,True,XRP,Up,,False,sin_ask,,,54.3,,,,,
2026-09-05T19:14:58+00:00,1788635700,True,DOGE,Up,,False,sin_ask,,,58.6,,,,,
2026-09-05T19:14:58+00:00,1788635700,True,BNB,Up,,False,sin_ask,,,54.0,,,,,
2026-09-05T19:19:58+00:00,1788636000,True,BTC,Down,,False,sin_ask,,,115.1,,,,,
2026-09-05T19:19:58+00:00,1788636000,True,ETH,Up,,False,sin_ask,,,62.3,,,,,
2026-09-05T19:19:58+00:00,1788636000,True,SOL,Up,0.01,False,ninguno_confirma,87.1,0.01,61.1,,,,,
2026-09-05T19:19:58+00:00,1788636000,True,XRP,Up,0.01,False,ninguno_confirma,27.8,0.01,53.7,,,,,
2026-09-05T19:19:58+00:00,1788636000,True,DOGE,Down,,False,sin_ask,,,57.0,,,,,
2026-09-05T19:19:58+00:00,1788636000,True,BNB,Up,,False,sin_ask,,,60.2,,,,,
2026-09-05T19:24:58+00:00,1788636300,True,BTC,Up,,False,sin_ask,,,64.0,,,,,
2026-09-05T19:24:58+00:00,1788636300,True,ETH,Up,,False,sin_ask,,,67.7,,,,,
2026-09-05T19:24:58+00:00,1788636300,True,SOL,Up,,False,sin_ask,,,58.3,,,,,
2026-09-05T19:24:58+00:00,1788636300,True,XRP,Down,,False,sin_ask,,,54.7,,,,,
2026-09-05T19:24:58+00:00,1788636300,True,DOGE,Down,,False,sin_ask,,,61.8,,,,,
2026-09-05T19:24:58+00:00,1788636300,True,BNB,Down,,False,sin_ask,,,58.0,,,,,
2026-09-05T19:29:58+00:00,1788636600,True,BTC,Up,,False,sin_ask,,,92.5,,,,,
2026-09-05T19:29:58+00:00,1788636600,True,ETH,Down,,False,sin_ask,,,59.3,,,,,
2026-09-05T19:29:58+00:00,1788636600,True,SOL,Up,,False,sin_ask,,,55.8,,,,,
2026-09-05T19:29:58+00:00,1788636600,True,XRP,Up,,False,sin_ask,,,60.9,,,,,
2026-09-05T19:29:58+00:00,1788636600,True,DOGE,Up,,False,sin_ask,,,64.4,,,,,
2026-09-05T19:29:58+00:00,1788636600,True,BNB,Up,,False,sin_ask,,,57.4,,,,,
2026-09-05T19:34:58+00:00,1788636900,True,BTC,Down,,False,sin_ask,,,82.1,,,,,
2026-09-05T19:34:58+00:00,1788636900,True,ETH,Down,,False,sin_ask,,,58.9,,,,,
2026-09-05T19:34:58+00:00,1788636900,True,SOL,Down,,False,sin_ask,,,63.2,,,,,
