ts_deteccion_utc,ts_prediccion_utc,market_id,strategy,activo,marco,decision,precio_yes_mercado,bot_consenso_lado,bot_consenso_n,bot_consenso_pct,mejor_ask_deteccion,profundidad_eur_deteccion,ratio_vs_stake_deteccion,sigue_fillable,decision_dry_run
2026-09-10T19:31:49+00:00,2026-09-10T19:31:14+00:00,4418606,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.5,Down,6,0.8333,0.99,0.0,0.0,0,NO_dispara_sin_libro
2026-09-10T19:50:53+00:00,2026-09-10T19:50:23+00:00,4422392,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.5,Down,6,0.6667,0.87,0.0,0.0,0,NO_dispara_sin_libro
2026-09-10T20:26:18+00:00,2026-09-10T20:26:07+00:00,4424474,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.44,Down,6,0.8333,0.46,781.7,744.5,1,DISPARARIA
2026-09-10T20:31:49+00:00,2026-09-10T20:31:22+00:00,4424489,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.505,Down,4,0.5,0.88,0.0,0.0,0,NO_dispara_sin_libro
2026-09-10T20:34:34+00:00,2026-09-10T20:34:25+00:00,4424311,MOMENTUM_IBS_15M_BALLENA,SOL,15min,BUY_NO,0.43,Down,5,0.8,0.61,0.0,0.0,0,NO_dispara_sin_libro
2026-09-10T20:49:27+00:00,2026-09-10T20:48:54+00:00,4424462,MOMENTUM_IBS_15M_BALLENA,SOL,15min,BUY_NO,0.495,Down,4,1.0,0.79,0.0,0.0,0,NO_dispara_sin_libro
2026-09-10T21:01:49+00:00,2026-09-10T21:01:17+00:00,4424815,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.5,Down,5,0.6,0.52,20.64,19.7,1,DISPARARIA
2026-09-10T21:35:39+00:00,2026-09-10T21:35:24+00:00,4425303,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_YES,0.001,Up,9,0.8889,0.001,83.29,79.3,1,DISPARARIA
2026-09-10T21:36:24+00:00,2026-09-10T21:36:09+00:00,4425501,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.5,Down,12,0.5833,0.84,0.0,0.0,0,NO_dispara_sin_libro
2026-09-10T21:45:12+00:00,2026-09-10T21:44:50+00:00,4425490,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.505,Down,12,0.6667,0.43,433.0,412.4,1,DISPARARIA
2026-09-10T22:05:40+00:00,2026-09-10T22:04:59+00:00,4425951,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_YES,0.5,Up,4,0.75,0.56,0.0,0.0,0,NO_dispara_sin_libro
2026-09-10T22:35:05+00:00,2026-09-10T22:34:35+00:00,4426305,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.505,Down,4,1.0,0.6,0.0,0.0,0,NO_dispara_sin_libro
2026-09-10T22:57:10+00:00,2026-09-10T22:56:39+00:00,4426409,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.5,Down,9,0.5556,0.88,0.0,0.0,0,NO_dispara_sin_libro
2026-09-10T23:05:17+00:00,2026-09-10T23:04:47+00:00,4426862,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.5,Down,4,0.5,0.25,970.15,924.0,1,DISPARARIA
2026-09-10T23:56:34+00:00,2026-09-10T23:55:57+00:00,4427234,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.5,Down,7,0.8571,0.76,0.0,0.0,0,NO_dispara_sin_libro
2026-09-11T00:16:07+00:00,2026-09-11T00:15:58+00:00,4427462,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.5,Down,3,0.6667,0.81,0.0,0.0,0,NO_dispara_sin_libro
2026-09-11T01:04:57+00:00,2026-09-11T01:04:36+00:00,4427803,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_YES,0.505,Up,3,1.0,0.55,0.0,0.0,0,NO_dispara_sin_libro
