timestamp_utc,rank_combined,address,username,pnl,vol,rank_pnl,rank_vol,score,verified_badge,x_username
2026-06-19T10:34:49+00:00,7,0x9501ec3b8b3e330ae593ebe5b071c3d11b648223,horizon.,85410.663304,14725976.431862,18,11,0.696,False,
2026-06-19T10:34:49+00:00,8,0xce25e214d5cfe4f459cf67f08df581885aae7fdc,0xcE25E214D5cfE4f459cf67F08DF581885AAE7Fdc-1777575398144,118468.47305879352,8690123.574972998,11,23,0.684,False,
2026-06-19T10:34:49+00:00,9,0x5bb0de4e97698184ead80c80cb17a26cd6f6814b,bobe2.1,74019.459258,18640405.627466,23,7,0.668,False,
2026-06-19T10:34:49+00:00,10,0xf284ad6d607f777f34bc643cea587c33a886b9f9,strike123,467253.7928659568,3746218.9669149998,0,,0.6,False,
2026-06-19T10:34:49+00:00,11,0x0f0edbb5fca07a7efffe283624f085a7b2e2a019,prayingnotbroke,225020.685792,622024.5894010001,1,,0.588,False,
2026-06-19T10:34:49+00:00,12,0x44c1dfe43260c94ed4f1d00de2e1f80fb113ebc1,aenews2,204973.8981302501,2377442.839706,2,,0.576,False,aenews
2026-06-19T10:34:49+00:00,13,0x02e7f29f3e612a95a9ccca7131ce7dd5d56b59e5,CAR-GangVersion,66172.659345228,14157607.841587,27,13,0.572,False,
2026-06-19T10:34:49+00:00,14,0x6bab41a0dc40d6dd4c1a915b8c01969479fd1292,Dropper,158542.754008535,673779.806155,4,,0.552,False,DropperPM
2026-06-19T10:34:49+00:00,15,0x55be7aa03ecfbe37aa5460db791205f7ac9ddca3,coinman2,156031.56596251694,1851175.408209,5,,0.54,False,
2026-06-19T10:34:49+00:00,16,0x565ca59275f81991bd9877d7fa8404c5ecf6519e,bbwlover,139396.96725671057,963207.1738300001,7,,0.516,False,
2026-06-19T10:34:49+00:00,17,0x9f5ffe76a818dce37c70f947998b52b70671a008,0x9F5fFE76a818DCE37c70F947998b52b70671A008-1772728605528,89037.68622412797,6642012.276852,17,36,0.508,False,
2026-06-19T10:34:49+00:00,18,0x4834f8ba3454b8c3bae2cac7d235ba1adc0b1bfa,Surpriced-Legacy,121959.61642089539,496196.1417079999,10,,0.48,False,BTCBeliever21
2026-06-19T10:34:49+00:00,19,0xf705fa045201391d9632b7f3cde06a5e24453ca7,,116127.36564900842,3852724.5828930004,12,,0.456,False,
2026-06-19T10:34:49+00:00,20,0xa2cd4ccda9a1f95949df7a3355c4c2daa0642ba0,0xA2cd4CcdA9A1f95949DF7A3355C4c2DAa0642Ba0-1729178570395,100422.39256200001,6084029.820985001,15,47,0.444,False,
2026-06-19T10:34:49+00:00,21,0xed107a85a4585a381e48c7f7ca4144909e7dd2e5,elmcap2,57831.70778403971,8595089.099197,32,25,0.416,False,elm_cap
2026-06-19T10:34:49+00:00,22,0xcc500cbcc8b7cf5bd21975ebbea34f21b5644c82,justdance,96434.75930855633,3807464.235221999,16,,0.408,False,
2026-06-19T10:34:49+00:00,23,0x72a0d79b4325638bc2bcfc9a2b8a380c2d81c059,,83225.7679157781,1753345.6573459997,19,,0.372,False,
2026-06-19T10:34:49+00:00,24,0x6480542954b70a674a74bd1a6015dec362dc8dc5,tripping,122.89639246449951,23096624.543477997,,4,0.368,False,
2026-06-19T10:34:49+00:00,25,0xe9076a87c5ed90ef16e6fe6529c943baeca0cff6,suntori,-268362.8349308779,22110328.316919,,5,0.36,False,
2026-06-19T10:34:49+00:00,26,0xce71bed9dd1418abc34d244730879d795e8683bc,tutrucks,78230.4082443271,702747.9736949999,20,,0.36,False,
2026-06-19T10:34:49+00:00,27,0x59aed45d6b8c0a4fc67af69a371007b3cceb22d5,0x59Aed45d6b8C0a4fc67af69A371007B3CceB22d5-1730864521381,-95979.41721176532,20278769.746834002,,6,0.352,False,
2026-06-19T10:34:49+00:00,28,0xc851cd9bee7d262afd78674f861f9f576a12cd2a,betwick,77190.55911999999,613548.846253,21,,0.348,False,Betwick1
2026-06-19T10:34:49+00:00,29,0x71a70f24538d885d1b45f9cea158a2cdf2e56fcf,easyclap,76931.02005512011,1133151.808674,22,,0.336,False,
2026-06-19T10:34:49+00:00,30,0xfea31bc088000ff909be1dfd8d0e3f2c7ef2d227,ndb1,49035.75264673339,8849341.657066,41,22,0.332,False,
2026-06-19T10:34:49+00:00,31,0x08fff5b9a79576a7c6e18a9d05ece0658a34ba79,krazyagain,27.47272767600039,16464929.029684,,9,0.328,False,overseaswtf
2026-06-19T10:34:49+00:00,32,0xdf7930e89a2c47560165331863c31deca0733dcd,std0,46374.31508502251,10593890.002099998,45,18,0.316,False,
2026-06-19T10:34:49+00:00,33,0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,ArmageddonRewardsBilly,72774.01814180698,1197268.3803200002,24,,0.312,False,Eltonma
2026-06-19T10:34:49+00:00,34,0x4099db7f2d394449ccf89c8d42260ecaf1d79fb8,PowellTheKing,44756.377738,12582679.549623,48,14,0.312,False,
2026-06-19T10:34:49+00:00,35,0x04b6d7e930cf9e493c5e6ef24b496294f95594c8,0x04b6D7E930cf9e493c5E6eF24B496294F95594C8-1774448369789,33190.35125111765,14544433.474377,,12,0.304,False,
2026-06-19T10:34:49+00:00,36,0xde7be6d489bce070a959e0cb813128ae659b5f4b,wan123,72297.58119841,643983.673318,25,,0.3,False,
2026-06-19T10:34:49+00:00,37,0xb10047d6a254b2ebb306d7a7d13bf59171ab6461,Parz1vaI,67757.70204124397,1638913.8891290005,26,,0.288,False,Parz1valPM
2026-06-19T10:34:49+00:00,38,0x1521b47bf0c41f6b7fd3ad41cdec566812c8f23e,alliswell,4680.923807999999,12580175.942299,,15,0.28,False,
2026-06-19T10:34:49+00:00,39,0x31393e2f8333d4a6e2e31ca6424defe8b6cb9e2e,hot-garbage,51080.08691485177,6862838.145372001,38,34,0.272,False,
2026-06-19T10:34:49+00:00,40,0x76d4d4703add6e94cfdb1107f3d991d85ff2c512,,-24753.0982291487,12197875.361449001,,16,0.272,False,
2026-06-19T10:34:49+00:00,41,0xa6d9b55a6a3a54a9d50ca94c64f00af69c50fd2f,kinderSman,63737.56038570287,535443.483388,28,,0.264,False,kinderSman
